Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
114,2021-01-20,Bundesliga,Matchweek 17,Away,Bayern Munich,Augsburg,Y,0.79,0.98,Right Foot,13,13,0-0,Rafał Gikiewicz,,Lucas Hernández,Fouled,Serge Gnabry,Pass (Live),
115,2021-01-17,Bundesliga,Matchweek 16,Home,Bayern Munich,Freiburg,Y,0.50,0.87,Left Foot,10,7,0-0,Florian Müller,Thomas Müller,Thomas Müller,Pass (Live),Serge Gnabry,Pass (Live),
116,2021-01-08,Bundesliga,Matchweek 15,Away,Bayern Munich,M'Gladbach,Y,0.79,0.96,Right Foot,13,20,0-0,Yann Sommer,,,Fouled,Alphonso Davies,Interception,
117,2021-01-03,Bundesliga,Matchweek 14,Home,Bayern Munich,Mainz 05,Y,0.38,0.63,Right Foot,10,83,4-2,Finn Dahmen,Thomas Müller,Thomas Müller,Pass (Live),Jamal Musiala,Pass (Live),Volley
118,2021-01-03,Bundesliga,Matchweek 14,Home,Bayern Munich,Mainz 05,Y,0.79,0.99,Right Foot,13,76,3-2,Finn Dahmen,,Serge Gnabry,Fouled,Leon Goretzka,Pass (Live),
119,2020-12-19,Bundesliga,Matchweek 13,Away,Bayern Munich,Leverkusen,Y,0.06,0.07,Right Foot,16,90+3,1-1,Lukáš Hrádecký,Joshua Kimmich,Joshua Kimmich,Pass (Live),,,Deflected
120,2020-12-19,Bundesliga,Matchweek 13,Away,Bayern Munich,Leverkusen,Y,0.34,0.24,Head,8,43,0-1,Lukáš Hrádecký,Thomas Müller,Thomas Müller,Pass (Live),Leroy Sané,Pass (Live),
121,2020-12-16,Bundesliga,Matchweek 12,Home,Bayern Munich,Wolfsburg,Y,0.26,0.69,Right Foot,16,50,1-1,Koen Casteels,Jérôme Boateng,Jérôme Boateng,Pass (Live),,,
122,2020-12-16,Bundesliga,Matchweek 12,Home,Bayern Munich,Wolfsburg,Y,0.44,0.94,Head,6,45+1,0-1,Koen Casteels,Kingsley Coman,Kingsley Coman,Pass (Live),Kingsley Coman,Take-On,
123,2020-12-12,Bundesliga,Matchweek 11,Away,Bayern Munich,Union Berlin,Y,0.51,0.94,Right Foot,10,67,0-1,Andreas Luthe,Kingsley Coman,Kingsley Coman,Pass (Live),Kingsley Coman,Take-On,
124,2020-11-28,Bundesliga,Matchweek 9,Away,Bayern Munich,Stuttgart,Y,0.03,0.30,Right Foot,27,45+1,1-1,Gregor Kobel,Kingsley Coman,Kingsley Coman,Pass (Live),David Alaba,Pass (Live),
125,2020-11-25,Champions Lg,Group stage,Home,Bayern Munich,RB Salzburg,Y,0.47,0.79,Left Foot,9,42,0-0,Cican Stankovic,Thomas Müller,Thomas Müller,Shot,,,
126,2020-11-07,Bundesliga,Matchweek 7,Away,Bayern Munich,Dortmund,Y,0.06,0.50,Head,12,48,1-1,Roman Bürki,Lucas Hernández,Lucas Hernández,Pass (Live),Serge Gnabry,Pass (Live),Deflected
127,2020-11-03,Champions Lg,Group stage,Away,Bayern Munich,RB Salzburg,Y,0.39,0.96,Head,4,88,4-2,Cican Stankovic,Javi Martínez,Javi Martínez,Pass (Live),Bouna Sarr,Pass (Live),
128,2020-11-03,Champions Lg,Group stage,Away,Bayern Munich,RB Salzburg,Y,0.79,0.99,Right Foot,13,21,0-1,Cican Stankovic,,Thomas Müller,Fouled,Kingsley Coman,Pass (Live),
129,2020-10-24,Bundesliga,Matchweek 5,Home,Bayern Munich,Eint Frankfurt,Y,0.31,0.51,Right Foot,14,60,2-0,Kevin Trapp,Douglas Costa,Douglas Costa,Pass (Live),Leon Goretzka,Pass (Live),
130,2020-10-24,Bundesliga,Matchweek 5,Home,Bayern Munich,Eint Frankfurt,Y,0.09,0.38,Head,9,26,1-0,Kevin Trapp,Joshua Kimmich,Joshua Kimmich,Pass (Dead),Joshua Kimmich,Pass (Live),
131,2020-10-24,Bundesliga,Matchweek 5,Home,Bayern Munich,Eint Frankfurt,Y,0.29,0.76,Left Foot,16,10,0-0,Kevin Trapp,Kingsley Coman,Kingsley Coman,Pass (Live),Thomas Müller,Pass (Live),
132,2020-10-17,Bundesliga,Matchweek 4,Away,Bayern Munich,Arminia,Y,0.09,0.13,Right Foot,17,45+1,2-0,Stefan Ortega,Thomas Müller,Thomas Müller,Pass (Live),Leon Goretzka,Pass (Live),Deflected
133,2020-10-17,Bundesliga,Matchweek 4,Away,Bayern Munich,Arminia,Y,0.08,0.13,Right Foot,20,25,1-0,Stefan Ortega,Leon Goretzka,Leon Goretzka,Pass (Live),Leon Goretzka,Take-On,
,,,,,,,,,,,,,,,,,,,,
134,2020-10-14,UEFA Nations League,League A,Home,Poland,Bosnia & Herz'na,Y*,,,,,52,2-0,Ibrahim Šehić,Mateusz Klich,,,,,
135,2020-10-14,UEFA Nations League,League A,Home,Poland,Bosnia & Herz'na,Y*,,,,,40,0-0,Ibrahim Šehić,Kamil Jóźwiak,,,,,
,,,,,,,,,,,,,,,,,,,,
136,2020-10-04,Bundesliga,Matchweek 3,Home,Bayern Munich,Hertha BSC,Y,0.79,0.99,Right Foot,13,90+3,3-3,Alexander Schwolow,,Robert Lewandowski,Fouled,Corentin Tolisso,Pass (Live),
137,2020-10-04,Bundesliga,Matchweek 3,Home,Bayern Munich,Hertha BSC,Y,0.54,0.84,Left Foot,4,85,2-2,Alexander Schwolow,Thomas Müller,Thomas Müller,Pass (Live),David Alaba,Pass (Dead),Volley
138,2020-10-04,Bundesliga,Matchweek 3,Home,Bayern Munich,Hertha BSC,Y,0.10,0.62,Right Foot,19,51,1-0,Alexander Schwolow,Chris Richards,Robert Lewandowski,Take-On,Chris Richards,Pass (Live),
139,2020-10-04,Bundesliga,Matchweek 3,Home,Bayern Munich,Hertha BSC,Y,0.56,0.93,Right Foot,8,40,0-0,Alexander Schwolow,,,,,,Volley
140,2020-09-18,Bundesliga,Matchweek 1,Home,Bayern Munich,Schalke 04,Y,0.79,1.00,Right Foot,13,31,2-0,Ralf Fährmann,,Robert Lewandowski,Fouled,Joshua Kimmich,Pass (Live),
141,2020-08-19,Champions Lg,Semi-finals,Away,Bayern Munich,Lyon,Y,0.08,0.37,Head,9,88,2-0,Anthony Lopes,Joshua Kimmich,Joshua Kimmich,Pass (Dead),Thomas Müller,Fouled,
142,2020-08-14,Champions Lg,Quarter-finals,Neutral,Bayern Munich,Barcelona,Y,0.74,0.97,Head,3,82,5-2,Marc-André ter Stegen,Philippe Coutinho,Philippe Coutinho,Pass (Live),Thomas Müller,Pass (Live),
143,2020-08-08,Champions Lg,Round of 16,Home,Bayern Munich,Chelsea,Y,0.06,0.07,Head,10,83,3-1,Willy Caballero,Álvaro Odriozola,Álvaro Odriozola,Pass (Live),Javi Martínez,Pass (Live),
144,2020-08-08,Champions Lg,Round of 16,Home,Bayern Munich,Chelsea,Y,0.79,0.99,Right Foot,13,10,0-0,Willy Caballero,,Robert Lewandowski,Fouled,Serge Gnabry,Pass (Live),
145,2020-07-04,DFB-Pokal,Final,Away,Bayern Munich,Leverkusen,Y,,,,,89,3-1,Lukáš Hrádecký,Ivan Perišić,,,,,
146,2020-07-04,DFB-Pokal,Final,Away,Bayern Munich,Leverkusen,Y,,,,,59,2-0,Lukáš Hrádecký,Manuel Neuer,,,,,
147,2020-06-27,Bundesliga,Matchweek 34,Away,Bayern Munich,Wolfsburg,Y,0.79,0.97,Right Foot,13,72,2-0,Koen Casteels,,Mickaël Cuisance,Fouled,,,
148,2020-06-20,Bundesliga,Matchweek 33,Home,Bayern Munich,Freiburg,Y,0.71,0.99,Right Foot,4,37,2-1,Alexander Schwolow,Lucas Hernández,Lucas Hernández,Pass (Live),Leon Goretzka,Pass (Live),
149,2020-06-20,Bundesliga,Matchweek 33,Home,Bayern Munich,Freiburg,Y,0.37,0.36,Head,9,24,1-0,Alexander Schwolow,,Leon Goretzka,Shot,,,
150,2020-06-16,Bundesliga,Matchweek 32,Away,Bayern Munich,Werder Bremen,Y,0.39,0.41,Right Foot,11,43,0-0,Jiří Pavlenka,Jérôme Boateng,Jérôme Boateng,Pass (Live),Serge Gnabry,Pass (Live),Volley
151,2020-06-10,DFB-Pokal,Semi-finals,Home,Bayern Munich,Eint Frankfurt,Y,,,,,74,1-1,Kevin Trapp,Joshua Kimmich,,,,,
152,2020-06-06,Bundesliga,Matchweek 30,Away,Bayern Munich,Leverkusen,Y,0.28,0.69,Head,10,66,3-1,Lukáš Hrádecký,Thomas Müller,Thomas Müller,Pass (Live),Joshua Kimmich,Pass (Live),
153,2020-05-30,Bundesliga,Matchweek 29,Home,Bayern Munich,Düsseldorf,Y,0.51,0.95,Right Foot,7,50,3-0,Florian Kastenmeier,Serge Gnabry,Serge Gnabry,Pass (Live),,,
154,2020-05-30,Bundesliga,Matchweek 29,Home,Bayern Munich,Düsseldorf,Y,0.36,0.21,Right Foot,10,43,2-0,Florian Kastenmeier,Thomas Müller,Thomas Müller,Pass (Live),Joshua Kimmich,Pass (Live),
155,2020-05-23,Bundesliga,Matchweek 27,Home,Bayern Munich,Eint Frankfurt,Y,0.34,0.61,Head,8,46,2-0,Kevin Trapp,Kingsley Coman,Kingsley Coman,Pass (Live),Thomas Müller,Pass (Live),
156,2020-05-17,Bundesliga,Matchweek 26,Away,Bayern Munich,Union Berlin,Y,0.79,0.99,Right Foot,13,40,0-0,Rafał Gikiewicz,,Leon Goretzka,Fouled,Joshua Kimmich,Pass (Live),
157,2020-02-25,Champions Lg,Round of 16,Away,Bayern Munich,Chelsea,Y,0.71,0.97,Right Foot,5,76,2-0,Willy Caballero,Alphonso Davies,Alphonso Davies,Pass (Live),Alphonso Davies,Take-On,
158,2020-02-21,Bundesliga,Matchweek 23,Home,Bayern Munich,Paderborn 07,Y,0.55,0.80,Right Foot,6,88,2-2,Leopold Zingerle,Serge Gnabry,Serge Gnabry,Pass (Live),Alphonso Davies,Pass (Live),
159,2020-02-21,Bundesliga,Matchweek 23,Home,Bayern Munich,Paderborn 07,Y,0.45,0.51,Right Foot,12,70,1-1,Leopold Zingerle,Serge Gnabry,Serge Gnabry,Pass (Live),Lucas Hernández,Tackle,
160,2020-02-16,Bundesliga,Matchweek 22,Away,Bayern Munich,Köln,Y,0.21,0.32,Left Foot,14,3,0-0,Timo Horn,Thomas Müller,Thomas Müller,Pass (Live),Thiago Alcántara,Pass (Live),
161,2020-02-05,DFB-Pokal,Round of 16,Home,Bayern Munich,Hoffenheim,Y,,,,,80,3-1,Philipp Pentke,Joshua Kimmich,,,,,
162,2020-02-05,DFB-Pokal,Round of 16,Home,Bayern Munich,Hoffenheim,Y,,,,,36,2-1,Philipp Pentke,Thomas Müller,,,,,
163,2020-02-01,Bundesliga,Matchweek 20,Away,Bayern Munich,Mainz 05,Y,0.26,0.70,Head,10,8,0-0,Robin Zentner,Benjamin Pavard,Benjamin Pavard,Pass (Live),Thiago Alcántara,Pass (Live),
164,2020-01-25,Bundesliga,Matchweek 19,Home,Bayern Munich,Schalke 04,Y,0.39,0.86,Right Foot,11,6,0-0,Markus Schubert,,Jérôme Boateng,Pass (Live),Leon Goretzka,Pass (Live),Deflected Volley
165,2020-01-19,Bundesliga,Matchweek 18,Away,Bayern Munich,Hertha BSC,Y,0.79,0.99,Right Foot,13,73,1-0,Rune Jarstein,,Leon Goretzka,Fouled,Thiago Alcántara,Pass (Live),
166,2019-12-18,Bundesliga,Matchweek 16,Away,Bayern Munich,Freiburg,Y,0.41,0.40,Right Foot,9,16,0-0,Mark Flekken,Alphonso Davies,Alphonso Davies,Pass (Live),Alphonso Davies,Take-On,
167,2019-12-14,Bundesliga,Matchweek 15,Home,Bayern Munich,Werder Bremen,Y,0.50,0.96,Right Foot,6,72,3-1,Jiří Pavlenka,Thomas Müller,Thomas Müller,Pass (Live),Robert Lewandowski,Pass (Live),Volley
168,2019-12-14,Bundesliga,Matchweek 15,Home,Bayern Munich,Werder Bremen,Y,0.37,0.30,Left Foot,10,45+4,1-1,Jiří Pavlenka,Philippe Coutinho,Philippe Coutinho,Pass (Live),Jérôme Boateng,Pass (Live),
169,2019-11-26,Champions Lg,Group stage,Away,Bayern Munich,Red Star,Y,0.60,0.91,Right Foot,11,67,4-0,Milan Borjan,Ivan Perišić,Ivan Perišić,Pass (Live),Robert Lewandowski,Pass (Live),
170,2019-11-26,Champions Lg,Group stage,Away,Bayern Munich,Red Star,Y,0.46,0.96,Head,5,64,3-0,Milan Borjan,Benjamin Pavard,Benjamin Pavard,Pass (Live),Kingsley Coman,Pass (Live),
171,2019-11-26,Champions Lg,Group stage,Away,Bayern Munich,Red Star,Y,0.67,0.94,Right Foot,4,60,2-0,Milan Borjan,Corentin Tolisso,Corentin Tolisso,Shot,,,Volley
172,2019-11-26,Champions Lg,Group stage,Away,Bayern Munich,Red Star,Y,0.79,1.00,Right Foot,13,53,1-0,Milan Borjan,,,Fouled,Corentin Tolisso,Pass (Live),
,,,,,,,,,,,,,,,,,,,,
173,2019-11-19,UEFA Euro Qualifying,Group stage,Home,Poland,Slovenia,Y*,,,,,54,1-1,Jan Oblak,Artur Jędrzejczyk,,,,,
,,,,,,,,,,,,,,,,,,,,
174,2019-11-09,Bundesliga,Matchweek 11,Home,Bayern Munich,Dortmund,Y,0.60,0.96,Right Foot,9,76,2-0,Roman Bürki,Thomas Müller,Thomas Müller,Pass (Live),Robert Lewandowski,Pass (Live),
175,2019-11-09,Bundesliga,Matchweek 11,Home,Bayern Munich,Dortmund,Y,0.54,0.67,Head,4,17,0-0,Roman Bürki,Benjamin Pavard,Benjamin Pavard,Pass (Live),Kingsley Coman,Pass (Live),
176,2019-11-06,Champions Lg,Group stage,Home,Bayern Munich,Olympiacos,Y,0.35,0.70,Right Foot,6,69,0-0,José Sá,Kingsley Coman,Kingsley Coman,Pass (Live),Joshua Kimmich,Pass (Live),
177,2019-11-02,Bundesliga,Matchweek 10,Away,Bayern Munich,Eint Frankfurt,Y,0.63,0.99,Right Foot,9,37,0-2,Frederik Rønnow,Alphonso Davies,Robert Lewandowski,Take-On,Robert Lewandowski,Take-On,
178,2019-10-26,Bundesliga,Matchweek 9,Home,Bayern Munich,Union Berlin,Y,0.24,0.59,Right Foot,19,53,1-0,Rafał Gikiewicz,,Alphonso Davies,Pass (Live),Kingsley Coman,Pass (Live),
179,2019-10-22,Champions Lg,Group stage,Away,Bayern Munich,Olympiacos,Y,0.54,0.97,Right Foot,6,62,1-1,José Sá,Thomas Müller,Thomas Müller,Pass (Live),,,Volley
180,2019-10-22,Champions Lg,Group stage,Away,Bayern Munich,Olympiacos,Y,0.53,0.77,Left Foot,7,34,0-1,José Sá,Thomas Müller,Thomas Müller,Shot,,,
181,2019-10-19,Bundesliga,Matchweek 8,Away,Bayern Munich,Augsburg,Y,0.10,0.36,Head,8,14,0-1,Tomáš Koubek,Serge Gnabry,Serge Gnabry,Pass (Live),Javi Martínez,Pass (Live),
,,,,,,,,,,,,,,,,,,,,
182,2019-10-10,UEFA Euro Qualifying,Group stage,Away,Poland,Latvia,Y*,,,,,76,2-0,Andris Vaņins,Kamil Grosicki,,,,,
183,2019-10-10,UEFA Euro Qualifying,Group stage,Away,Poland,Latvia,Y*,,,,,13,1-0,Andris Vaņins,Kamil Grosicki,,,,,
184,2019-10-10,UEFA Euro Qualifying,Group stage,Away,Poland,Latvia,Y*,,,,,9,0-0,Andris Vaņins,Sebastian Szymański,,,,,
,,,,,,,,,,,,,,,,,,,,
185,2019-10-05,Bundesliga,Matchweek 7,Home,Bayern Munich,Hoffenheim,Y,0.51,0.97,Head,7,73,0-1,Oliver Baumann,Thomas Müller,Thomas Müller,Pass (Live),Joshua Kimmich,Pass (Live),
186,2019-10-01,Champions Lg,Group stage,Away,Bayern Munich,Tottenham,Y,0.14,0.72,Right Foot,13,87,5-2,Hugo Lloris,Philippe Coutinho,Philippe Coutinho,Pass (Live),Ivan Perišić,Pass (Live),
187,2019-10-01,Champions Lg,Group stage,Away,Bayern Munich,Tottenham,Y,0.05,0.37,Right Foot,22,45,1-1,Hugo Lloris,Serge Gnabry,Serge Gnabry,Pass (Live),Robert Lewandowski,Take-On,
188,2019-09-28,Bundesliga,Matchweek 6,Away,Bayern Munich,Paderborn 07,Y,0.53,0.49,Right Foot,11,79,2-1,Jannik Huth,Niklas Süle,Niklas Süle,Pass (Live),Joshua Kimmich,Pass (Live),
189,2019-09-21,Bundesliga,Matchweek 5,Home,Bayern Munich,Köln,Y,0.08,0.40,Head,10,48,1-0,Timo Horn,Joshua Kimmich,Joshua Kimmich,Pass (Dead),Jérôme Boateng,Shot,
190,2019-09-21,Bundesliga,Matchweek 5,Home,Bayern Munich,Köln,Y,0.36,0.26,Right Foot,16,3,0-0,Timo Horn,Joshua Kimmich,Joshua Kimmich,Pass (Live),Corentin Tolisso,Pass (Live),Deflected
191,2019-09-18,Champions Lg,Group stage,Home,Bayern Munich,Red Star,Y,0.68,0.99,Right Foot,5,80,1-0,Milan Borjan,,,,,,
192,2019-09-14,Bundesliga,Matchweek 4,Away,Bayern Munich,RB Leipzig,Y,0.39,0.74,Right Foot,19,3,0-0,Péter Gulácsi,Thomas Müller,Thomas Müller,Pass (Live),,,
193,2019-08-31,Bundesliga,Matchweek 3,Home,Bayern Munich,Mainz 05,Y,0.08,0.31,Right Foot,14,78,4-1,Florian Müller,Thomas Müller,Thomas Müller,Pass (Live),Kingsley Coman,Pass (Live),Deflected Volley
194,2019-08-24,Bundesliga,Matchweek 2,Away,Bayern Munich,Schalke 04,Y,0.27,0.65,Right Foot,16,75,2-0,Alexander Nübel,Kingsley Coman,Kingsley Coman,Pass (Live),Corentin Tolisso,Pass (Live),
195,2019-08-24,Bundesliga,Matchweek 2,Away,Bayern Munich,Schalke 04,Y,0.07,0.44,Right Foot,31,50,1-0,Alexander Nübel,,Corentin Tolisso,Fouled,Serge Gnabry,Pass (Live),
196,2019-08-24,Bundesliga,Matchweek 2,Away,Bayern Munich,Schalke 04,Y,0.79,0.99,Right Foot,13,20,0-0,Alexander Nübel,,Kingsley Coman,Fouled,Joshua Kimmich,Pass (Live),
197,2019-08-16,Bundesliga,Matchweek 1,Home,Bayern Munich,Hertha BSC,Y,0.79,0.99,Right Foot,13,60,1-2,Rune Jarstein,,Robert Lewandowski,Fouled,Thiago Alcántara,Pass (Live),
198,2019-08-16,Bundesliga,Matchweek 1,Home,Bayern Munich,Hertha BSC,Y,0.53,0.70,Left Foot,7,24,0-0,Rune Jarstein,Serge Gnabry,Serge Gnabry,Pass (Live),Joshua Kimmich,Pass (Live),
199,2019-08-12,DFB-Pokal,First round,Away,Bayern Munich,Energie Cottbus,Y,,,,,32,0-0,Lennart Moser,,,,,,
,,,,,,,,,,,,,,,,,,,,
200,2019-06-10,UEFA Euro Qualifying,Group stage,Home,Poland,Israel,Y*,,,,,56,1-0,Ariel Harush,,,,,,
,,,,,,,,,,,,,,,,,,,,
201,2019-05-25,DFB-Pokal,Final,Away,Bayern Munich,RB Leipzig,Y,,,,,85,2-0,Péter Gulácsi,Joshua Kimmich,,,,,
202,2019-05-25,DFB-Pokal,Final,Away,Bayern Munich,RB Leipzig,Y,,,,,29,0-0,Péter Gulácsi,David Alaba,,,,,
203,2019-05-04,Bundesliga,Matchweek 32,Home,Bayern Munich,Hannover 96,Y,0.46,0.47,Head,5,27,0-0,Michael Esser,Joshua Kimmich,Joshua Kimmich,Pass (Live),Serge Gnabry,Pass (Live),
204,2019-04-24,DFB-Pokal,Semi-finals,Away,Bayern Munich,Werder Bremen,Y,,,,,80,2-2,Jiří Pavlenka,,,,,,
205,2019-04-24,DFB-Pokal,Semi-finals,Away,Bayern Munich,Werder Bremen,Y,,,,,36,0-0,Jiří Pavlenka,,,,,,
206,2019-04-06,Bundesliga,Matchweek 28,Home,Bayern Munich,Dortmund,Y,0.88,0.97,Right Foot,3,89,4-0,Roman Bürki,Serge Gnabry,Serge Gnabry,Pass (Live),Joshua Kimmich,Pass (Live),
207,2019-04-06,Bundesliga,Matchweek 28,Home,Bayern Munich,Dortmund,Y,0.26,0.76,Right Foot,23,17,1-0,Roman Bürki,,Robert Lewandowski,Take-On,Robert Lewandowski,Interception,Volley
208,2019-04-03,DFB-Pokal,Quarter-finals,Home,Bayern Munich,Heidenheim,N,,,,,84,4-4,Kevin Müller,,,,,,
209,2019-04-03,DFB-Pokal,Quarter-finals,Home,Bayern Munich,Heidenheim,N,,,,,56,2-2,Kevin Müller,Thomas Müller,,,,,
210,2019-03-30,Bundesliga,Matchweek 27,Away,Bayern Munich,Freiburg,Y,0.17,0.25,Left Foot,8,22,0-1,Alexander Schwolow,Leon Goretzka,Leon Goretzka,Shot,,,Deflected Volley
,,,,,,,,,,,,,,,,,,,,
211,2019-03-24,UEFA Euro Qualifying,Group stage,Home,Poland,Latvia,Y*,,,,,76,0-0,Pāvels Šteinbors,Arkadiusz Reca,,,,,
,,,,,,,,,,,,,,,,,,,,
212,2019-03-17,Bundesliga,Matchweek 26,Home,Bayern Munich,Mainz 05,Y,0.08,0.13,Right Foot,7,3,0-0,Florian Müller,David Alaba,David Alaba,Pass (Live),Kingsley Coman,Pass (Live),Volley
213,2019-03-09,Bundesliga,Matchweek 25,Home,Bayern Munich,Wolfsburg,Y,0.31,0.68,Head,8,85,5-0,Koen Casteels,Franck Ribéry,Franck Ribéry,Pass (Live),Rafinha,Pass (Live),
214,2019-03-09,Bundesliga,Matchweek 25,Home,Bayern Munich,Wolfsburg,Y,0.49,0.69,Right Foot,8,37,1-0,Koen Casteels,Serge Gnabry,Serge Gnabry,Pass (Live),James Rodríguez,Pass (Live),
215,2019-03-02,Bundesliga,Matchweek 24,Away,Bayern Munich,M'Gladbach,Y,0.79,0.99,Right Foot,13,90+1,4-1,Yann Sommer,,Joshua Kimmich,Fouled,Jeong Woo-yeong,Pass (Live),
216,2019-03-02,Bundesliga,Matchweek 24,Away,Bayern Munich,M'Gladbach,Y,0.54,0.92,Right Foot,11,47,2-1,Yann Sommer,Thiago Alcántara,Robert Lewandowski,Take-On,Thiago Alcántara,Pass (Live),
217,2019-02-09,Bundesliga,Matchweek 21,Home,Bayern Munich,Schalke 04,Y*,0.34,0.75,Right Foot,17,27,1-1,Ralf Fährmann,James Rodríguez,James Rodríguez,Pass (Live),Serge Gnabry,Pass (Live),
218,2019-01-27,Bundesliga,Matchweek 19,Home,Bayern Munich,Stuttgart,Y,0.41,0.74,Right Foot,9,84,3-1,Ron-Robert Zieler,Joshua Kimmich,Robert Lewandowski,Take-On,Joshua Kimmich,Pass (Live),
219,2019-01-18,Bundesliga,Matchweek 18,Away,Bayern Munich,Hoffenheim,Y,0.66,0.78,Left Foot,5,87,2-1,Oliver Baumann,Thomas Müller,Thomas Müller,Pass (Live),James Rodríguez,Pass (Live),
220,2018-12-15,Bundesliga,Matchweek 15,Away,Bayern Munich,Hannover 96,Y,0.52,0.72,Head,6,62,3-0,Michael Esser,Joshua Kimmich,Joshua Kimmich,Pass (Live),Thomas Müller,Shot,
221,2018-12-12,Champions Lg,Group stage,Away,Bayern Munich,Ajax,Y,0.79,1.00,Right Foot,13,87,1-2,André Onana,,Thiago Alcántara,Fouled,Thiago Alcántara,Take-On,
222,2018-12-12,Champions Lg,Group stage,Away,Bayern Munich,Ajax,Y,0.31,0.61,Right Foot,10,13,0-0,André Onana,Serge Gnabry,Rafinha,Pass (Live),David Alaba,Pass (Live),
223,2018-12-08,Bundesliga,Matchweek 14,Home,Bayern Munich,Nürnberg,Y,0.42,0.80,Right Foot,10,27,1-0,Fabian Bredlow,,Leon Goretzka,Shot,,,
