Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
358,2016-02-14,Bundesliga,Matchweek 21,Away,Bayern Munich,Augsburg,Y,,,,,62,1-0,Marwin Hitz,Thiago Alcántara,,,,,
359,2016-02-14,Bundesliga,Matchweek 21,Away,Bayern Munich,Augsburg,Y,,,,,15,0-0,Marwin Hitz,Thomas Müller,,,,,
360,2016-02-10,DFB-Pokal,Quarter-finals,Away,Bayern Munich,Bochum,Y,,,,,90,2-0,Manuel Riemann,Arjen Robben,,,,,
361,2016-02-10,DFB-Pokal,Quarter-finals,Away,Bayern Munich,Bochum,Y,,,,,38,0-0,Manuel Riemann,Thomas Müller,,,,,
362,2016-01-31,Bundesliga,Matchweek 19,Home,Bayern Munich,Hoffenheim,Y,,,,,64,1-0,Oliver Baumann,Philipp Lahm,,,,,
363,2016-01-31,Bundesliga,Matchweek 19,Home,Bayern Munich,Hoffenheim,Y,,,,,32,0-0,Oliver Baumann,Douglas Costa,,,,,
364,2016-01-22,Bundesliga,Matchweek 18,Away,Bayern Munich,Hamburger SV,Y,,,,,61,1-1,René Adler,Thomas Müller,,,,,
365,2016-01-22,Bundesliga,Matchweek 18,Away,Bayern Munich,Hamburger SV,Y,,,,,37,0-0,René Adler,,,,,,
366,2015-12-12,Bundesliga,Matchweek 16,Home,Bayern Munich,Ingolstadt 04,Y,,,,,65,0-0,Ramazan Özcan,Jérôme Boateng,,,,,
367,2015-12-09,Champions Lg,Group stage,Away,Bayern Munich,Dinamo Zagreb,Y,,,,,64,1-0,Eduardo Carvalho,Sebastian Rode,,,,,
368,2015-12-09,Champions Lg,Group stage,Away,Bayern Munich,Dinamo Zagreb,Y,,,,,61,0-0,Eduardo Carvalho,Philipp Lahm,,,,,
369,2015-11-24,Champions Lg,Group stage,Home,Bayern Munich,Olympiacos,Y,,,,,16,1-0,Roberto,Kingsley Coman,,,,,
,,,,,,,,,,,,,,,,,,,,
370,2015-11-13,Friendlies (M),Friendlies (M),Home,Poland,Iceland,Y,,,,,78,3-2,Ögmundur Kristinsson,,,,,,
371,2015-11-13,Friendlies (M),Friendlies (M),Home,Poland,Iceland,Y,,,,,76,2-2,Ögmundur Kristinsson,,,,,,
,,,,,,,,,,,,,,,,,,,,
372,2015-11-07,Bundesliga,Matchweek 12,Home,Bayern Munich,Stuttgart,Y,,,,,37,2-0,Przemysław Tytoń,,,,,,
373,2015-11-04,Champions Lg,Group stage,Home,Bayern Munich,Arsenal,Y,,,,,10,0-0,Petr Čech,Thiago Alcántara,,,,,
374,2015-10-24,Bundesliga,Matchweek 10,Home,Bayern Munich,Köln,Y,,,,,62,2-0,Timo Horn,Douglas Costa,,,,,
,,,,,,,,,,,,,,,,,,,,
375,2015-10-11,Euro Qualifying,Group stage,Home,Poland,Rep. of Ireland,Y*,,,,,42,1-1,Darren Randolph,Krzysztof Mączyński,,,,,
376,2015-10-08,Euro Qualifying,Group stage,Away,Poland,Scotland,Y*,,,,,90+4,1-2,David Marshall,,,,,,
377,2015-10-08,Euro Qualifying,Group stage,Away,Poland,Scotland,Y*,,,,,3,0-0,David Marshall,Arkadiusz Milik,,,,,
,,,,,,,,,,,,,,,,,,,,
378,2015-10-04,Bundesliga,Matchweek 8,Home,Bayern Munich,Dortmund,Y,,,,,58,3-1,Roman Bürki,Mario Götze,,,,,
379,2015-10-04,Bundesliga,Matchweek 8,Home,Bayern Munich,Dortmund,Y,,,,,46,2-1,Roman Bürki,Jérôme Boateng,,,,,
380,2015-09-29,Champions Lg,Group stage,Home,Bayern Munich,Dinamo Zagreb,Y,,,,,55,4-0,Eduardo Carvalho,,,,,,
381,2015-09-29,Champions Lg,Group stage,Home,Bayern Munich,Dinamo Zagreb,Y,,,,,28,3-0,Eduardo Carvalho,Douglas Costa,,,,,
382,2015-09-29,Champions Lg,Group stage,Home,Bayern Munich,Dinamo Zagreb,Y,,,,,21,1-0,Eduardo Carvalho,Thiago Alcántara,,,,,
383,2015-09-26,Bundesliga,Matchweek 7,Away,Bayern Munich,Mainz 05,Y,,,,,63,1-0,Loris Karius,Arturo Vidal,,,,,
384,2015-09-26,Bundesliga,Matchweek 7,Away,Bayern Munich,Mainz 05,Y,,,,,51,0-0,Loris Karius,Kingsley Coman,,,,,
385,2015-09-22,Bundesliga,Matchweek 6,Home,Bayern Munich,Wolfsburg,N,,,,,60,4-1,Diego Benaglio,Mario Götze,,,,,
386,2015-09-22,Bundesliga,Matchweek 6,Home,Bayern Munich,Wolfsburg,N,,,,,57,3-1,Diego Benaglio,,,,,,
387,2015-09-22,Bundesliga,Matchweek 6,Home,Bayern Munich,Wolfsburg,N,,,,,55,2-1,Diego Benaglio,,,,,,
388,2015-09-22,Bundesliga,Matchweek 6,Home,Bayern Munich,Wolfsburg,N,,,,,52,1-1,Diego Benaglio,Douglas Costa,,,,,
389,2015-09-22,Bundesliga,Matchweek 6,Home,Bayern Munich,Wolfsburg,N,,,,,51,0-1,Diego Benaglio,,,,,,
390,2015-09-12,Bundesliga,Matchweek 4,Home,Bayern Munich,Augsburg,Y,,,,,77,0-1,Marwin Hitz,,,,,,
,,,,,,,,,,,,,,,,,,,,
391,2015-09-07,Euro Qualifying,Group stage,Home,Poland,Gibraltar,Y*,,,,,29,3-0,Jordan Perez,Arkadiusz Milik,,,,,
392,2015-09-07,Euro Qualifying,Group stage,Home,Poland,Gibraltar,Y*,,,,,18,2-0,Jordan Perez,Krzysztof Mączyński,,,,,
393,2015-09-04,Euro Qualifying,Group stage,Away,Poland,Germany,Y*,,,,,36,0-2,Manuel Neuer,Kamil Grosicki,,,,,
,,,,,,,,,,,,,,,,,,,,
394,2015-08-22,Bundesliga,Matchweek 2,Away,Bayern Munich,Hoffenheim,N,,,,,90,1-1,Oliver Baumann,Mario Götze,,,,,
395,2015-08-14,Bundesliga,Matchweek 1,Home,Bayern Munich,Hamburger SV,Y,,,,,53,1-0,René Adler,,,,,,
396,2015-08-09,DFB-Pokal,First round,Away,Bayern Munich,Nöttingen,Y,,,,,26,2-1,Robin Kraski,,,,,,
,,,,,,,,,,,,,,,,,,,,
397,2015-06-13,Euro Qualifying,Group stage,Home,Poland,Georgia,Y*,,,,,90+3,3-0,Giorgi Loria,,,,,,
398,2015-06-13,Euro Qualifying,Group stage,Home,Poland,Georgia,Y*,,,,,90+2,2-0,Giorgi Loria,Jakub Błaszczykowski,,,,,
399,2015-06-13,Euro Qualifying,Group stage,Home,Poland,Georgia,Y*,,,,,89,1-0,Giorgi Loria,Arkadiusz Milik,,,,,
,,,,,,,,,,,,,,,,,,,,
400,2015-05-23,Bundesliga,Matchweek 34,Home,Bayern Munich,Mainz 05,Y,,,,,25,0-0,Loris Karius,,,,,,
401,2015-05-12,Champions Lg,Semi-finals,Home,Bayern Munich,Barcelona,Y,,,,,59,1-2,Marc-André ter Stegen,Bastian Schweinsteiger,,,,,
402,2015-04-28,DFB-Pokal,Semi-finals,Home,Bayern Munich,Dortmund,Y,,,,,30,0-0,Mitchell Langerak,,,,,,
403,2015-04-21,Champions Lg,Quarter-finals,Home,Bayern Munich,Porto,Y,,,,,40,4-0,,Thomas Müller,,,,,
404,2015-04-21,Champions Lg,Quarter-finals,Home,Bayern Munich,Porto,Y,,,,,27,2-0,,Thomas Müller,,,,,
405,2015-04-11,Bundesliga,Matchweek 28,Home,Bayern Munich,Eint Frankfurt,Y,,,,,66,1-0,Kevin Trapp,,,,,,
406,2015-04-11,Bundesliga,Matchweek 28,Home,Bayern Munich,Eint Frankfurt,Y,,,,,15,0-0,Kevin Trapp,Thomas Müller,,,,,
407,2015-04-04,Bundesliga,Matchweek 27,Away,Bayern Munich,Dortmund,Y,,,,,36,0-0,Roman Weidenfeller,,,,,,
408,2015-03-14,Bundesliga,Matchweek 25,Away,Bayern Munich,Werder Bremen,Y,,,,,90+1,3-0,Raphael Wolf,Thomas Müller,,,,,
409,2015-03-14,Bundesliga,Matchweek 25,Away,Bayern Munich,Werder Bremen,Y,,,,,76,2-0,Raphael Wolf,Thomas Müller,,,,,
410,2015-03-11,Champions Lg,Round of 16,Home,Bayern Munich,Shakhtar,Y,,,,,75,5-0,Andriy Pyatov,Bastian Schweinsteiger,,,,,
411,2015-02-27,Bundesliga,Matchweek 23,Home,Bayern Munich,Köln,Y,,,,,75,3-1,Timo Horn,Arjen Robben,,,,,
412,2015-02-21,Bundesliga,Matchweek 22,Away,Bayern Munich,Paderborn 07,Y,,,,,37,1-0,Lukas Kruse,Franck Ribéry,,,,,
413,2015-02-21,Bundesliga,Matchweek 22,Away,Bayern Munich,Paderborn 07,Y,,,,,24,0-0,Lukas Kruse,Arjen Robben,,,,,
414,2015-02-14,Bundesliga,Matchweek 21,Home,Bayern Munich,Hamburger SV,Y,,,,,56,5-0,Jaroslav Drobný,Thomas Müller,,,,,
415,2014-12-13,Bundesliga,Matchweek 15,Away,Bayern Munich,Augsburg,Y,,,,,68,2-0,Alex Manninger,Bastian Schweinsteiger,,,,,
416,2014-11-25,Champions Lg,Group stage,Away,Bayern Munich,Manchester City,Y,,,,,45,1-1,Joe Hart,Jérôme Boateng,,,,,
417,2014-11-22,Bundesliga,Matchweek 12,Home,Bayern Munich,Hoffenheim,Y,,,,,40,1-0,Oliver Baumann,Arjen Robben,,,,,
418,2014-11-01,Bundesliga,Matchweek 10,Home,Bayern Munich,Dortmund,Y,,,,,72,0-1,Roman Weidenfeller,,,,,,
419,2014-10-29,DFB-Pokal,Second round,Away,Bayern Munich,Hamburger SV,Y,,,,,7,0-0,Jaroslav Drobný,,,,,,
420,2014-10-21,Champions Lg,Group stage,Away,Bayern Munich,Roma,Y,,,,,25,2-0,Morgan De Sanctis,Juan Bernat,,,,,
421,2014-10-04,Bundesliga,Matchweek 7,Home,Bayern Munich,Hannover 96,Y,,,,,38,2-0,Ron-Robert Zieler,Xherdan Shaqiri,,,,,
422,2014-10-04,Bundesliga,Matchweek 7,Home,Bayern Munich,Hannover 96,Y,,,,,6,0-0,Ron-Robert Zieler,Rafinha,,,,,
423,2014-09-23,Bundesliga,Matchweek 5,Home,Bayern Munich,Paderborn 07,Y,,,,,14,1-0,Lukas Kruse,Philipp Lahm,,,,,
,,,,,,,,,,,,,,,,,,,,
424,2014-09-07,Euro Qualifying,Group stage,Away,Poland,Gibraltar,Y*,,,,,90+2,6-0,Jordan Perez,Filip Starzyński,,,,,
425,2014-09-07,Euro Qualifying,Group stage,Away,Poland,Gibraltar,Y*,,,,,86,5-0,Jordan Perez,Maciej Rybus,,,,,
426,2014-09-07,Euro Qualifying,Group stage,Away,Poland,Gibraltar,Y*,,,,,53,3-0,Jordan Perez,Maciej Rybus,,,,,
427,2014-09-07,Euro Qualifying,Group stage,Away,Poland,Gibraltar,Y*,,,,,50,2-0,Jordan Perez,Jakub Wawrzyniak,,,,,
,,,,,,,,,,,,,,,,,,,,
428,2014-08-30,Bundesliga,Matchweek 2,Away,Bayern Munich,Schalke 04,Y,,,,,10,0-0,Ralf Fährmann,Sebastian Rode,,,,,
,,,,,,,,,,,,,,,,,,,,
429,2014-05-10,Bundesliga,Matchweek 34,Away,Dortmund,Hertha BSC,Y,,,,,80,2-0,Thomas Kraft,,,,,,
430,2014-05-10,Bundesliga,Matchweek 34,Away,Dortmund,Hertha BSC,Y,,,,,41,0-0,Thomas Kraft,,,,,,
431,2014-04-19,Bundesliga,Matchweek 31,Home,Dortmund,Mainz 05,Y,,,,,18,1-1,Loris Karius,,,,,,
432,2014-04-05,Bundesliga,Matchweek 29,Home,Dortmund,Wolfsburg,Y,,,,,51,0-1,Max Grün,,,,,,
433,2014-03-22,Bundesliga,Matchweek 26,Away,Dortmund,Hannover 96,Y,,,,,52,1-0,Ron-Robert Zieler,,,,,,
434,2014-03-01,Bundesliga,Matchweek 23,Home,Dortmund,Nürnberg,Y,,,,,64,1-0,Raphael Schäfer,,,,,,
435,2014-02-25,Champions Lg,Round of 16,Away,Dortmund,Zenit,Y,,,,,71,3-2,,,,,,,
436,2014-02-25,Champions Lg,Round of 16,Away,Dortmund,Zenit,Y,,,,,61,2-1,,,,,,,
437,2014-02-15,Bundesliga,Matchweek 21,Home,Dortmund,Eint Frankfurt,Y,,,,,47,2-0,Kevin Trapp,,,,,,
438,2014-02-08,Bundesliga,Matchweek 20,Away,Dortmund,Werder Bremen,Y,,,,,85,4-0,Raphael Wolf,,,,,,
439,2014-02-08,Bundesliga,Matchweek 20,Away,Dortmund,Werder Bremen,Y,,,,,26,0-0,Raphael Wolf,,,,,,
440,2013-12-11,Champions Lg,Group stage,Away,Dortmund,Marseille,Y,,,,,4,0-0,,,,,,,
441,2013-11-30,Bundesliga,Matchweek 14,Away,Dortmund,Mainz 05,Y,,,,,90,2-1,Loris Karius,,,,,,
442,2013-11-30,Bundesliga,Matchweek 14,Away,Dortmund,Mainz 05,Y,,,,,78,1-1,Loris Karius,,,,,,
443,2013-11-01,Bundesliga,Matchweek 11,Home,Dortmund,Stuttgart,Y,,,,,72,4-1,Sven Ulreich,,,,,,
444,2013-11-01,Bundesliga,Matchweek 11,Home,Dortmund,Stuttgart,Y,,,,,56,3-1,Sven Ulreich,,,,,,
445,2013-11-01,Bundesliga,Matchweek 11,Home,Dortmund,Stuttgart,Y,,,,,54,2-1,Sven Ulreich,,,,,,
446,2013-10-22,Champions Lg,Group stage,Away,Dortmund,Arsenal,Y,,,,,82,1-1,,,,,,,
447,2013-10-01,Champions Lg,Group stage,Home,Dortmund,Marseille,Y,,,,,79,2-0,,,,,,,
448,2013-10-01,Champions Lg,Group stage,Home,Dortmund,Marseille,Y,,,,,19,0-0,,,,,,,
449,2013-09-28,Bundesliga,Matchweek 7,Home,Dortmund,Freiburg,Y,,,,,70,3-0,Oliver Baumann,,,,,,
450,2013-09-28,Bundesliga,Matchweek 7,Home,Dortmund,Freiburg,Y,,,,,58,2-0,Oliver Baumann,,,,,,
451,2013-09-14,Bundesliga,Matchweek 5,Home,Dortmund,Hamburger SV,Y,,,,,81,5-2,René Adler,,,,,,
452,2013-09-14,Bundesliga,Matchweek 5,Home,Dortmund,Hamburger SV,Y,,,,,73,3-2,René Adler,,,,,,
,,,,,,,,,,,,,,,,,,,,
453,2013-09-06,WCQ,First round,Home,Poland,Montenegro,Y,,,,,16,0-1,Mladen Božović,,,,,,
,,,,,,,,,,,,,,,,,,,,
454,2013-08-23,Bundesliga,Matchweek 3,Home,Dortmund,Werder Bremen,Y,,,,,55,0-0,Sebastian Mielitz,,,,,,
455,2013-08-10,Bundesliga,Matchweek 1,Away,Dortmund,Augsburg,Y,,,,,86,3-0,Mohamed Amsif,,,,,,
456,2013-05-18,Bundesliga,Matchweek 34,Home,Dortmund,Hoffenheim,Y,,,,,6,0-0,Koen Casteels,,,,,,
457,2013-04-24,Champions Lg,Semi-finals,Home,Dortmund,Real Madrid,Y,,,,,66,3-1,,,,,,,
458,2013-04-24,Champions Lg,Semi-finals,Home,Dortmund,Real Madrid,Y,,,,,55,2-1,,,,,,,
459,2013-04-24,Champions Lg,Semi-finals,Home,Dortmund,Real Madrid,Y,,,,,50,1-1,,,,,,,
460,2013-04-24,Champions Lg,Semi-finals,Home,Dortmund,Real Madrid,Y,,,,,8,0-0,,,,,,,
461,2013-04-20,Bundesliga,Matchweek 30,Home,Dortmund,Mainz 05,Y,,,,,87,1-0,Christian Wetklo,,,,,,
462,2013-04-13,Bundesliga,Matchweek 29,Away,Dortmund,Greuther Fürth,Y,,,,,80,5-1,Wolfgang Hesl,,,,,,
463,2013-04-09,Champions Lg,Quarter-finals,Home,Dortmund,Málaga,Y,,,,,40,0-1,,,,,,,
464,2013-04-06,Bundesliga,Matchweek 28,Home,Dortmund,Augsburg,N,,,,,90,3-2,Alex Manninger,,,,,,
465,2013-03-30,Bundesliga,Matchweek 27,Away,Dortmund,Stuttgart,Y,,,,,82,1-1,Sven Ulreich,,,,,,
,,,,,,,,,,,,,,,,,,,,
466,2013-03-26,WCQ,First round,Home,Poland,San Marino,Y,,,,,50,2-0,Aldo Junior Simoncini,,,,,,
467,2013-03-26,WCQ,First round,Home,Poland,San Marino,Y,,,,,21,0-0,Aldo Junior Simoncini,,,,,,
,,,,,,,,,,,,,,,,,,,,
468,2013-03-16,Bundesliga,Matchweek 26,Home,Dortmund,Freiburg,Y,,,,,45,2-1,Oliver Baumann,,,,,,
469,2013-03-16,Bundesliga,Matchweek 26,Home,Dortmund,Freiburg,Y,,,,,41,0-1,Oliver Baumann,,,,,,
470,2013-03-09,Bundesliga,Matchweek 25,Away,Dortmund,Schalke 04,Y,,,,,59,0-2,Timo Hildebrand,,,,,,
471,2013-03-02,Bundesliga,Matchweek 24,Home,Dortmund,Hannover 96,Y,,,,,21,1-0,Ron-Robert Zieler,,,,,,
472,2013-03-02,Bundesliga,Matchweek 24,Home,Dortmund,Hannover 96,Y,,,,,8,0-0,Ron-Robert Zieler,,,,,,
473,2013-02-13,Champions Lg,Round of 16,Away,Dortmund,Shakhtar,Y,,,,,41,0-1,,,,,,,
474,2013-02-09,Bundesliga,Matchweek 21,Home,Dortmund,Hamburger SV,Y,,,,,17,0-0,René Adler,,,,,,
475,2013-02-03,Bundesliga,Matchweek 20,Away,Dortmund,Leverkusen,Y,,,,,63,2-2,Bernd Leno,,,,,,
476,2013-01-25,Bundesliga,Matchweek 19,Home,Dortmund,Nürnberg,Y,,,,,88,2-0,Raphael Schäfer,,,,,,
477,2013-01-19,Bundesliga,Matchweek 18,Away,Dortmund,Werder Bremen,Y,,,,,81,3-0,Sebastian Mielitz,,,,,,
478,2012-12-16,Bundesliga,Matchweek 17,Away,Dortmund,Hoffenheim,Y,,,,,66,2-1,Koen Casteels,,,,,,
479,2012-11-24,Bundesliga,Matchweek 13,Away,Dortmund,Mainz 05,Y,,,,,43,1-1,Christian Wetklo,,,,,,
480,2012-11-24,Bundesliga,Matchweek 13,Away,Dortmund,Mainz 05,Y,,,,,11,0-1,Christian Wetklo,,,,,,
481,2012-11-21,Champions Lg,Group stage,Away,Dortmund,Ajax,Y,,,,,67,3-0,,,,,,,
482,2012-11-21,Champions Lg,Group stage,Away,Dortmund,Ajax,Y,,,,,41,2-0,,,,,,,
483,2012-11-17,Bundesliga,Matchweek 12,Home,Dortmund,Greuther Fürth,Y,,,,,15,1-1,Max Grün,,,,,,
484,2012-11-17,Bundesliga,Matchweek 12,Home,Dortmund,Greuther Fürth,Y,,,,,3,0-0,Max Grün,,,,,,
485,2012-11-10,Bundesliga,Matchweek 11,Away,Dortmund,Augsburg,Y,,,,,70,2-0,Simon Jentzsch,,,,,,
486,2012-11-10,Bundesliga,Matchweek 11,Away,Dortmund,Augsburg,Y,,,,,51,1-0,Simon Jentzsch,,,,,,
487,2012-10-24,Champions Lg,Group stage,Home,Dortmund,Real Madrid,Y,,,,,36,0-0,,,,,,,
488,2012-10-20,Bundesliga,Matchweek 8,Home,Dortmund,Schalke 04,Y,,,,,55,0-2,Lars Unnerstall,,,,,,
489,2012-10-07,Bundesliga,Matchweek 7,Away,Dortmund,Hannover 96,Y,,,,,26,0-0,Ron-Robert Zieler,,,,,,
490,2012-09-18,Champions Lg,Group stage,Home,Dortmund,Ajax,Y,,,,,87,0-0,,,,,,,
491,2012-09-15,Bundesliga,Matchweek 3,Home,Dortmund,Leverkusen,Y,,,,,78,2-0,Bernd Leno,,,,,,
,,,,,,,,,,,,,,,,,,,,
492,2012-06-08,UEFA Euro,Group stage,Home,Poland,Greece,Y,,,,,17,0-0,Kostas Chalkias,Jakub Błaszczykowski,,,,,
,,,,,,,,,,,,,,,,,,,,
493,2012-05-05,Bundesliga,Matchweek 34,Home,Dortmund,Freiburg,Y,,,,,27,2-0,Daniel Batz,,,,,,
494,2012-05-05,Bundesliga,Matchweek 34,Home,Dortmund,Freiburg,Y,,,,,20,1-0,Daniel Batz,,,,,,
495,2012-04-11,Bundesliga,Matchweek 30,Home,Dortmund,Bayern Munich,Y,,,,,77,0-0,Manuel Neuer,,,,,,
496,2012-04-07,Bundesliga,Matchweek 29,Away,Dortmund,Wolfsburg,Y,,,,,90,2-1,Diego Benaglio,,,,,,
497,2012-04-07,Bundesliga,Matchweek 29,Away,Dortmund,Wolfsburg,Y,,,,,22,0-0,Diego Benaglio,,,,,,
498,2012-03-25,Bundesliga,Matchweek 27,Away,Dortmund,Köln,Y,,,,,52,2-1,Michael Rensing,,,,,,
499,2012-02-26,Bundesliga,Matchweek 23,Home,Dortmund,Hannover 96,Y,,,,,54,1-0,Ron-Robert Zieler,,,,,,
500,2012-02-26,Bundesliga,Matchweek 23,Home,Dortmund,Hannover 96,Y,,,,,27,0-0,Ron-Robert Zieler,,,,,,
501,2012-01-22,Bundesliga,Matchweek 18,Away,Dortmund,Hamburger SV,Y,,,,,83,4-0,Jaroslav Drobný,,,,,,
502,2012-01-22,Bundesliga,Matchweek 18,Away,Dortmund,Hamburger SV,Y,,,,,37,1-0,Jaroslav Drobný,,,,,,
503,2011-12-17,Bundesliga,Matchweek 17,Away,Dortmund,Freiburg,Y,,,,,70,3-1,Oliver Baumann,,,,,,
504,2011-12-17,Bundesliga,Matchweek 17,Away,Dortmund,Freiburg,Y,,,,,7,0-0,Oliver Baumann,,,,,,
505,2011-12-03,Bundesliga,Matchweek 15,Away,Dortmund,M'Gladbach,Y,,,,,40,0-0,Marc-André ter Stegen,,,,,,
506,2011-11-26,Bundesliga,Matchweek 14,Home,Dortmund,Schalke 04,Y,,,,,16,0-0,Lars Unnerstall,,,,,,
507,2011-11-05,Bundesliga,Matchweek 12,Home,Dortmund,Wolfsburg,Y,,,,,66,3-1,Diego Benaglio,,,,,,
508,2011-10-22,Bundesliga,Matchweek 10,Home,Dortmund,Köln,Y,,,,,50,3-0,Michael Rensing,,,,,,
509,2011-10-22,Bundesliga,Matchweek 10,Home,Dortmund,Köln,Y,,,,,44,2-0,Michael Rensing,,,,,,
510,2011-10-19,Champions Lg,Group stage,Away,Dortmund,Olympiacos,Y,,,,,26,0-1,,,,,,,
511,2011-10-01,Bundesliga,Matchweek 8,Home,Dortmund,Augsburg,Y,,,,,78,3-0,Simon Jentzsch,,,,,,
512,2011-10-01,Bundesliga,Matchweek 8,Home,Dortmund,Augsburg,Y,,,,,44,1-0,Simon Jentzsch,,,,,,
513,2011-10-01,Bundesliga,Matchweek 8,Home,Dortmund,Augsburg,Y,,,,,30,0-0,Simon Jentzsch,,,,,,
514,2011-09-10,Bundesliga,Matchweek 5,Home,Dortmund,Hertha BSC,Y,,,,,88,0-2,Thomas Kraft,,,,,,
515,2011-08-20,Bundesliga,Matchweek 3,Home,Dortmund,Nürnberg,Y,,,,,50,0-0,Patrick Rakovsky,,,,,,
516,2011-04-30,Bundesliga,Matchweek 32,Home,Dortmund,Nürnberg,Y,,,,,43,1-0,Raphael Schäfer,,,,,,
517,2011-04-17,Bundesliga,Matchweek 30,Home,Dortmund,Freiburg,Y,,,,,43,1-0,Oliver Baumann,,,,,,
518,2011-03-04,Bundesliga,Matchweek 25,Home,Dortmund,Köln,Y,,,,,44,0-0,Michael Rensing,,,,,,
519,2010-12-05,Bundesliga,Matchweek 15,Away,Dortmund,Nürnberg,Y,,,,,88,1-0,Raphael Schäfer,,,,,,
520,2010-12-02,Europa Lg,Group stage,Home,Dortmund,Karpaty Lviv,Y,,,,,89,2-0,,,,,,,
521,2010-11-20,Bundesliga,Matchweek 13,Away,Dortmund,Freiburg,N,,,,,75,0-1,Oliver Baumann,,,,,,
522,2010-11-07,Bundesliga,Matchweek 11,Away,Dortmund,Hannover 96,N,,,,,81,2-0,Florian Fromlowitz,,,,,,
523,2010-09-22,Bundesliga,Matchweek 5,Home,Dortmund,Kaiserslautern,N,,,,,75,3-0,Tobias Sippel,,,,,,
524,2010-09-19,Bundesliga,Matchweek 4,Away,Dortmund,Schalke 04,N,,,,,86,2-0,Manuel Neuer,,,,,,
,,,,,,,,,,,,,,,,,,,,
525,2009-08-06,Europa Lg,Third qualifying round,Home,Lech Poznań,Fredrikstad,Y,,,,,63,0-2,,,,,,,
526,2009-07-30,Europa Lg,Third qualifying round,Away,Lech Poznań,Fredrikstad,Y,,,,,51,3-1,,,,,,,
,,,,,,,,,,,,,,,,,,,,
527,2009-04-01,WCQ,First round,Home,Poland,San Marino,Y,,,,,43,3-0,Federico Valentini,,,,,,
,,,,,,,,,,,,,,,,,,,,
528,2008-10-02,UEFA Cup,First round,Home,Lech Poznań,Austria Wien,Y,,,,,99,2-1,,,,,,,
,,,,,,,,,,,,,,,,,,,,
529,2008-09-10,WCQ,First round,Away,Poland,San Marino,N,,,,,66,1-0,Aldo Junior Simoncini,,,,,,
,,,,,,,,,,,,,,,,,,,,
530,2008-08-14,UEFA Cup,Second qualifying round,Home,Lech Poznań,Grasshopper,Y,,,,,56,2-0,,,,,,,
531,2008-08-14,UEFA Cup,Second qualifying round,Home,Lech Poznań,Grasshopper,Y,,,,,14,1-0,,,,,,,
532,2008-07-17,UEFA Cup,First qualifying round,Away,Lech Poznań,Khazar Lankaran,N,,,,,75,0-0,,,,,,,
