R/O,Year,Host_City,Country,Contestant,Song,Points,Place
1,2019,Tel-Aviv,Malta,Michela,Chameleon,107,14th
2,2019,Tel-Aviv,Albania,Jonida Maliqi,Ktheju tokës,90,17th
3,2019,Tel-Aviv,Czech Republic,Lake Malawi,Friend of a Friend,157,11th
4,2019,Tel-Aviv,Germany,S!sters,Sister,24,25th
5,2019,Tel-Aviv,Russia,Sergey Lazarev,Scream,370,3rd
6,2019,Tel-Aviv,Denmark,Leonora,Love Is Forever,120,12th
7,2019,Tel-Aviv,San Marino,Serhat,Say Na Na Na,77,19th
8,2019,Tel-Aviv,North Macedonia,Tamara Todevska,Proud,305,7th
9,2019,Tel-Aviv,Sweden,John Lundvik,Too Late For Love,334,5th
10,2019,Tel-Aviv,Slovenia,Zala Kralj & Gašper Šantl,Sebi,105,15th
11,2019,Tel-Aviv,Cyprus,Tamta,Replay,109,13th
12,2019,Tel-Aviv,The Netherlands,Duncan Laurence,Arcade,498,1st
13,2019,Tel-Aviv,Greece,Katerine Duska,Better Love,74,21st
14,2019,Tel-Aviv,Israel,Kobi Marimi,Home,35,23rd
15,2019,Tel-Aviv,Norway,KEiiNO,Spirit in the Sky,331,6th
16,2019,Tel-Aviv,United Kingdom,Michael Rice,Bigger Than Us,11,26th
17,2019,Tel-Aviv,Iceland,Hatari,Hatrið mun sigra,232,10th
18,2019,Tel-Aviv,Estonia,Victor Crone,Storm,76,20th
19,2019,Tel-Aviv,Belarus,ZENA,Like It,31,24th
20,2019,Tel-Aviv,Azerbaijan,Chingiz,Truth,302,8th
21,2019,Tel-Aviv,France,Bilal Hassani,Roi,105,16th
22,2019,Tel-Aviv,Italy,Mahmood,Soldi,472,2nd
23,2019,Tel-Aviv,Serbia,Nevena Božović,Kruna,89,18th
24,2019,Tel-Aviv,Switzerland,Luca Hänni,She Got Me,364,4th
25,2019,Tel-Aviv,Australia,Kate Miller-Heidke,Zero Gravity,284,9th
26,2019,Tel-Aviv,Spain,Miki,La Venda,54,22nd
1,2018,Lisbon,Ukraine,MELOVIN,Under The Ladder,130,17th
2,2018,Lisbon,Spain,Amaia y Alfred,Tu Canción,61,23rd
"3,2018,Lisbon,Slovenia,Lea Sirk,""Hvala, ne!"",64,22nd"
4,2018,Lisbon,Lithuania,Ieva Zasimauskaitė,When We're Old,181,12th
5,2018,Lisbon,Austria,Cesár Sampson,Nobody But You,342,3rd
6,2018,Lisbon,Estonia,Elina Nechayeva,La Forza,245,8th
7,2018,Lisbon,Norway,Alexander Rybak,That's How You Write A Song,144,15th
8,2018,Lisbon,Portugal,Cláudia Pascoal,O Jardim,39,26th
9,2018,Lisbon,United Kingdom,SuRie,Storm,48,24th
10,2018,Lisbon,Serbia,Sanja Ilić & Balkanika,Nova Deca,113,19th
11,2018,Lisbon,Germany,Michael Schulte,You Let Me Walk Alone,340,4th
12,2018,Lisbon,Albania,Eugent Bushpepa,Mall,184,11th
13,2018,Lisbon,France,Madame Monsieur,Mercy,173,13th
14,2018,Lisbon,Czech Republic,Mikolas Josef,Lie To Me,281,6th
15,2018,Lisbon,Denmark,Rasmussen,Higher Ground,226,9th
16,2018,Lisbon,Australia,Jessica Mauboy,We Got Love,99,20th
17,2018,Lisbon,Finland,Saara Aalto,Monsters,46,25th
18,2018,Lisbon,Bulgaria,EQUINOX,Bones,166,14th
19,2018,Lisbon,Moldova,DoReDoS,My Lucky Day,209,10th
20,2018,Lisbon,Sweden,Benjamin Ingrosso,Dance You Off,274,7th
21,2018,Lisbon,Hungary,AWS,Viszlát Nyár,93,21st
22,2018,Lisbon,Israel,Netta,TOY,529,1st
23,2018,Lisbon,The Netherlands,Waylon,Outlaw In 'Em,121,18th
24,2018,Lisbon,Ireland,Ryan O'Shaughnessy,Together,136,16th
25,2018,Lisbon,Cyprus,Eleni Foureira,Fuego,436,2nd
26,2018,Lisbon,Italy,Ermal Meta e Fabrizio Moro,Non Mi Avete Fatto Niente,308,5th
1,2017,Kyiv,Israel,IMRI,I Feel Alive,39,23rd
2,2017,Kyiv,Poland,Kasia Moś,Flashlight,64,22nd
3,2017,Kyiv,Belarus,Naviband,Story of My Life,83,17th
4,2017,Kyiv,Austria,Nathan Trent,Running On Air,93,16th
5,2017,Kyiv,Armenia,Artsvik,Fly With Me,79,18th
6,2017,Kyiv,The Netherlands,OG3NE,Lights and Shadows,150,11th
7,2017,Kyiv,Moldova,Sunstroke Project,Hey Mamma,374,3rd
8,2017,Kyiv,Hungary,Joci Pápai,Origo,200,8th
9,2017,Kyiv,Italy,Francesco Gabbani,Occidentali's Karma,334,6th
10,2017,Kyiv,Denmark,Anja,Where I Am,77,20th
11,2017,Kyiv,Portugal,Salvador Sobral,Amar Pelos Dois,758,1st
12,2017,Kyiv,Azerbaijan,Dihaj,Skeletons,120,14th
13,2017,Kyiv,Croatia,Jacques Houdek,My Friend,128,13th
14,2017,Kyiv,Australia,Isaiah,Don't Come Easy,173,9th
15,2017,Kyiv,Greece,Demy,This is Love,77,19th
16,2017,Kyiv,Spain,Manel Navarro,Do It For Your Lover,5,26th
17,2017,Kyiv,Norway,JOWST,Grab The Moment,158,10th
18,2017,Kyiv,United Kingdom,Lucie Jones,Never Give Up On You,111,15th
19,2017,Kyiv,Cyprus,Hovig,Gravity,68,21st
20,2017,Kyiv,Romania,Ilinca ft. Alex Florea,Yodel It!,282,7th
21,2017,Kyiv,Germany,Levina,Perfect Life,6,25th
22,2017,Kyiv,Ukraine,O.Torvald,Time,36,24th
23,2017,Kyiv,Belgium,Blanche,City Lights,363,4th
24,2017,Kyiv,Sweden,Robin Bengtsson,I Can't Go On,344,5th
25,2017,Kyiv,Bulgaria,Kristian Kostov,Beautiful Mess,615,2nd
26,2017,Kyiv,France,Alma,Requiem,135,12th
1,2016,Stockholm,Belgium,Laura Tesoro,What's The Pressure,181,10th
2,2016,Stockholm,Czech Republic,Gabriela Gunčíková,I Stand,41,25th
3,2016,Stockholm,The Netherlands,Douwe Bob,Slow Down,153,11th
4,2016,Stockholm,Azerbaijan,Samra,Miracle,117,17th
5,2016,Stockholm,Hungary,Freddie,Pioneer,108,19th
6,2016,Stockholm,Italy,Francesca Michielin,No Degree Of Separation,124,16th
7,2016,Stockholm,Israel,Hovi Star,Made Of Stars,135,14th
8,2016,Stockholm,Bulgaria,Poli Genova,If Love Was A Crime,307,4th
9,2016,Stockholm,Sweden,Frans,If I Were Sorry,261,5th
10,2016,Stockholm,Germany,Jamie-Lee,Ghost,11,26th
11,2016,Stockholm,France,Amir,J'ai cherché,257,6th
12,2016,Stockholm,Poland,Michał Szpak,Color Of Your Life,229,8th
13,2016,Stockholm,Australia,Dami Im,Sound Of Silence,511,2nd
14,2016,Stockholm,Cyprus,Minus One,Alter Ego,96,21st
15,2016,Stockholm,Serbia,Sanja Vučić ZAA,Goodbye (Shelter),115,18th
16,2016,Stockholm,Lithuania,Donny Montell,I've Been Waiting for This Night,200,9th
17,2016,Stockholm,Croatia,Nina Kraljić,Lighthouse,73,23rd
18,2016,Stockholm,Russia,Sergey Lazarev,You Are The Only One,491,3rd
19,2016,Stockholm,Spain,Barei,Say Yay!,77,22nd
20,2016,Stockholm,Latvia,Justs,Heartbeat,132,15th
21,2016,Stockholm,Ukraine,Jamala,1944,534,1st
22,2016,Stockholm,Malta,Ira Losco,Walk On Water,153,12th
23,2016,Stockholm,Georgia,Nika Kocharov and Young Georgian Lolitaz,Midnight Gold,104,20th
24,2016,Stockholm,Austria,ZOË,Loin d'ici,151,13th
25,2016,Stockholm,United Kingdom,Joe and Jake,You're Not Alone,62,24th
26,2016,Stockholm,Armenia,Iveta Mukuchyan,LoveWave,249,7th
1,2015,Vienna,Slovenia,Maraaya,Here For You,39,14th
2,2015,Vienna,France,Lisa Angell,N'oubliez Pas,4,25th
3,2015,Vienna,Israel,Nadav Guedj,Golden Boy,97,9th
4,2015,Vienna,Estonia,Elina Born & Stig Rästa,Goodbye To Yesterday,106,7th
5,2015,Vienna,United Kingdom,Electro Velvet,Still In Love With You,5,24th
6,2015,Vienna,Armenia,Genealogy,Face The Shadow,34,16th
7,2015,Vienna,Lithuania,Monika Linkytė and Vaidas Baumila,This Time,30,18th
8,2015,Vienna,Serbia,Bojana Stamenov,Beauty Never Lies,53,10th
9,2015,Vienna,Norway,Mørland & Debrah Scarlett,A Monster Like Me,102,8th
10,2015,Vienna,Sweden,Måns Zelmerlöw,Heroes,365,1st
11,2015,Vienna,Cyprus,John Karayiannis,One Thing I Should Have Done,11,22nd
12,2015,Vienna,Australia,Guy Sebastian,Tonight Again,196,5th
13,2015,Vienna,Belgium,Loïc Nottet,Rhythm Inside,217,4th
14,2015,Vienna,Austria,The Makemakes,I Am Yours,—,26th
15,2015,Vienna,Greece,Maria Elena Kyriakou,One Last Breath,23,19th
16,2015,Vienna,Montenegro,Knez,Adio,44,13th
17,2015,Vienna,Germany,Ann Sophie,Black Smoke,—,27th
18,2015,Vienna,Poland,Monika Kuszyńska,In The Name Of Love,10,23rd
19,2015,Vienna,Latvia,Aminata,Love Injected,186,6th
20,2015,Vienna,Romania,Voltaj,De La Capat/ All Over Again,35,15th
21,2015,Vienna,Spain,Edurne,Amanecer,15,21st
22,2015,Vienna,Hungary,Boggie,Wars For Nothing,19,20th
23,2015,Vienna,Georgia,Nina Sublatti,Warrior,51,11th
24,2015,Vienna,Azerbaijan,Elnur Huseynov,Hour Of The Wolf,49,12th
25,2015,Vienna,Russia,Polina Gagarina,A Million Voices,303,2nd
26,2015,Vienna,Albania,Elhaida Dani,I'm Alive,34,17th
27,2015,Vienna,Italy,Il Volo,Grande Amore,292,3rd
1,2014,Copenhagen,Ukraine,Mariya Yaremchuk,Tick - Tock,113,6th
2,2014,Copenhagen,Belarus,Teo,Cheesecake,43,16th
3,2014,Copenhagen,Azerbaijan,Dilara Kazimova,Start A Fire,33,22nd
4,2014,Copenhagen,Iceland,Pollapönk,No Prejudice,58,15th
5,2014,Copenhagen,Norway,Carl Espen,Silent Storm,88,8th
6,2014,Copenhagen,Romania,Paula Seling & OVI,Miracle,72,12th
7,2014,Copenhagen,Armenia,Aram MP3,Not Alone,174,4th
8,2014,Copenhagen,Montenegro,Sergej Ćetković,Moj Svijet,37,19th
9,2014,Copenhagen,Poland,Donatan & Cleo,My Słowianie - We Are Slavic,62,14th
10,2014,Copenhagen,Greece,Freaky Fortune feat. RiskyKidd,Rise Up,35,20th
11,2014,Copenhagen,Austria,Conchita Wurst,Rise Like a Phoenix,290,1st
12,2014,Copenhagen,Germany,Elaiza,Is it right,39,18th
13,2014,Copenhagen,Sweden,Sanna Nielsen,Undo,218,3rd
14,2014,Copenhagen,France,TWIN TWIN,Moustache,2,26th
15,2014,Copenhagen,Russia,Tolmachevy Sisters,Shine,89,7th
16,2014,Copenhagen,Italy,Emma,La Mia Città,33,21st
17,2014,Copenhagen,Slovenia,Tinkara Kovač,Round and round,9,25th
18,2014,Copenhagen,Finland,Softengine,Something Better,72,11th
19,2014,Copenhagen,Spain,Ruth Lorenzo,Dancing in the rain,74,10th
20,2014,Copenhagen,Switzerland,Sebalter,Hunter Of Stars,64,13th
21,2014,Copenhagen,Hungary,András Kállay-Saunders,Running,143,5th
22,2014,Copenhagen,Malta,Firelight,Coming Home,32,23rd
23,2014,Copenhagen,Denmark,Basim,Cliche Love Song,74,9th
24,2014,Copenhagen,The Netherlands,The Common Linnets,Calm After The Storm,238,2nd
25,2014,Copenhagen,San Marino,Valentina Monetta,Maybe (Forse),14,24th
26,2014,Copenhagen,United Kingdom,Molly,Children of the Universe,40,17th
1,2013,Malmo,France,Amandine Bourgeois,L'enfer Et Moi,14,23rd
2,2013,Malmo,Lithuania,Andrius Pojavis,Something,17,22nd
3,2013,Malmo,Moldova,Aliona Moon,O Mie,71,11th
4,2013,Malmo,Finland,Krista Siegfrids,Marry Me,13,24th
5,2013,Malmo,Spain,ESDM,Contigo Hasta El Final (With You Until The End),8,25th
6,2013,Malmo,Belgium,Roberto Bellarosa,Love Kills,71,12th
7,2013,Malmo,Estonia,Birgit,Et Uus Saaks Alguse,19,20th
8,2013,Malmo,Belarus,Alyona Lanskaya,Solayoh,48,16th
9,2013,Malmo,Malta,Gianluca,Tomorrow,120,8th
10,2013,Malmo,Russia,Dina Garipova,What If,174,5th
11,2013,Malmo,Germany,Cascada,Glorious,18,21st
12,2013,Malmo,Armenia,Dorians,Lonely Planet,41,18th
13,2013,Malmo,The Netherlands,Anouk,Birds,114,9th
14,2013,Malmo,Romania,Cezar,It's My Life,65,13th
15,2013,Malmo,United Kingdom,Bonnie Tyler,Believe In Me,23,19th
16,2013,Malmo,Sweden,Robin Stjernberg,You,62,14th
17,2013,Malmo,Hungary,ByeAlex,Kedvesem (Zoohacker Remix),84,10th
18,2013,Malmo,Denmark,Emmelie de Forest,Only Teardrops,281,1st
19,2013,Malmo,Iceland,Eythor Ingi,Ég Á Líf,47,17th
20,2013,Malmo,Azerbaijan,Farid Mammadov,Hold Me,234,2nd
21,2013,Malmo,Greece,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,152,6th
22,2013,Malmo,Ukraine,Zlata Ognevich,Gravity,214,3rd
23,2013,Malmo,Italy,Marco Mengoni,L'Essenziale,126,7th
24,2013,Malmo,Norway,Margaret Berger,I Feed You My Love,191,4th
25,2013,Malmo,Georgia,Nodi Tatishvili & Sophie Gelovani,Waterfall,50,15th
26,2013,Malmo,Ireland,Ryan Dolan,Only Love Survives,5,26th
1,2012,Baku,United Kingdom,Engelbert Humperdinck,Love Will Set You Free,12,25th
2,2012,Baku,Hungary,Compact Disco,Sound Of Our Hearts,19,24th
3,2012,Baku,Albania,Rona Nishliu,Suus,146,5th
4,2012,Baku,Lithuania,Donny Montell,Love Is Blind,70,14th
5,2012,Baku,Bosnia & Herzegovina,Maya Sar,Korake Ti Znam,55,18th
6,2012,Baku,Russia,Buranovskiye Babushki,Party For Everybody,259,2nd
7,2012,Baku,Iceland,Greta Salóme & Jónsi,Never Forget,46,20th
8,2012,Baku,Cyprus,Ivi Adamou,La La Love,65,16th
9,2012,Baku,France,Anggun,Echo (You And I),21,22nd
10,2012,Baku,Italy,Nina Zilli,L'Amore È Femmina (Out Of Love),101,9th
11,2012,Baku,Estonia,Ott Lepland,Kuula,120,6th
12,2012,Baku,Norway,Tooji,Stay,7,26th
13,2012,Baku,Azerbaijan,Sabina Babayeva,When The Music Dies,150,4th
14,2012,Baku,Romania,Mandinga,Zaleilah,71,12th
15,2012,Baku,Denmark,Soluna Samay,Should've Known Better,21,23rd
16,2012,Baku,Greece,Eleftheria Eleftheriou,Aphrodisiac,64,17th
17,2012,Baku,Sweden,Loreen,Euphoria,372,1st
18,2012,Baku,Turkey,Can Bonomo,Love Me Back,112,7th
19,2012,Baku,Spain,Pastora Soler,Quédate Conmigo (Stay With Me),97,10th
20,2012,Baku,Germany,Roman Lob,Standing Still,110,8th
21,2012,Baku,Malta,Kurt Calleja,This Is The Night,41,21st
22,2012,Baku,North Macedonia,Kaliopi,Crno I Belo,71,13th
23,2012,Baku,Ireland,Jedward,Waterline,46,19th
24,2012,Baku,Serbia,Željko Joksimović,Nije Ljubav Stvar,214,3rd
25,2012,Baku,Ukraine,Gaitana,Be My Guest,65,15th
26,2012,Baku,Moldova,Pasha Parfeny,Lăutar,81,11th
1,2011,Dusseldorf,Finland,Paradise Oskar,Da Da Dam,57,21st
2,2011,Dusseldorf,Bosnia & Herzegovina,Dino Merlin,Love In Rewind,125,6th
3,2011,Dusseldorf,Denmark,A Friend In London,New Tomorrow,134,5th
4,2011,Dusseldorf,Lithuania,Evelina Sašenko,C'est Ma Vie,63,19th
5,2011,Dusseldorf,Hungary,Kati Wolf,What About My Dreams?,53,22nd
6,2011,Dusseldorf,Ireland,Jedward,Lipstick,119,8th
7,2011,Dusseldorf,Sweden,Eric Saade,Popular,185,3rd
8,2011,Dusseldorf,Estonia,Getter Jaani,Rockefeller Street,44,24th
9,2011,Dusseldorf,Greece,Loucas Yiorkas feat. Stereo Mike,Watch My Dance,120,7th
10,2011,Dusseldorf,Russia,Alexej Vorobjov,Get You,77,16th
11,2011,Dusseldorf,France,Amaury Vassili,Sognu,82,15th
12,2011,Dusseldorf,Italy,Raphael Gualazzi,Madness Of Love,189,2nd
13,2011,Dusseldorf,Switzerland,Anna Rossinelli,In Love For A While,19,25th
14,2011,Dusseldorf,United Kingdom,Blue,I Can,100,11th
15,2011,Dusseldorf,Moldova,Zdob și Zdub,So Lucky,97,12th
16,2011,Dusseldorf,Germany,Lena,Taken By A Stranger,107,10th
17,2011,Dusseldorf,Romania,Hotel FM,Change,77,17th
18,2011,Dusseldorf,Austria,Nadine Beiler,The Secret Is Love,64,18th
19,2011,Dusseldorf,Azerbaijan,Ell/Nikki,Running Scared,221,1st
20,2011,Dusseldorf,Slovenia,Maja Keuc,No One,96,13th
21,2011,Dusseldorf,Iceland,Sjonni's Friends,Coming Home,61,20th
22,2011,Dusseldorf,Spain,Lucía Pérez,Que Me Quiten Lo Bailao - They Can't Take The Fun Away From Me,50,23rd
23,2011,Dusseldorf,Ukraine,Mika Newton,Angel,159,4th
24,2011,Dusseldorf,Serbia,Nina,Čaroban,85,14th
25,2011,Dusseldorf,Georgia,Eldrine,One More Day,110,9th
1,2010,Oslo,Azerbaijan,Safura,Drip Drop,145,5th
2,2010,Oslo,Spain,Daniel Diges,Algo Pequeñito (Something Tiny),68,15th
3,2010,Oslo,Norway,Didrik Solli-Tangen,My Heart Is Yours,35,20th
4,2010,Oslo,Moldova,Sunstroke Project & Olia Tira,Run Away,27,22nd
5,2010,Oslo,Cyprus,Jon Lilygreen & The Islanders,Life Looks Better In Spring,27,21st
6,2010,Oslo,Bosnia & Herzegovina,Vukašin Brajić,Thunder And Lightning,51,17th
7,2010,Oslo,Belgium,Tom Dice,Me And My Guitar,143,6th
8,2010,Oslo,Serbia,Milan Stanković,Ovo Je Balkan,72,13th
9,2010,Oslo,Belarus,3+2,Butterflies,18,24th
10,2010,Oslo,Ireland,Niamh Kavanagh,It's For You,25,23rd
11,2010,Oslo,Greece,Giorgos Alkaios & Friends,OPA,140,8th
12,2010,Oslo,United Kingdom,Josh,That Sounds Good To Me,10,25th
13,2010,Oslo,Georgia,Sofia Nizharadze,Shine,136,9th
14,2010,Oslo,Turkey,maNga,We Could Be The Same,170,2nd
15,2010,Oslo,Albania,Juliana Pasha,It's All About You,62,16th
16,2010,Oslo,Iceland,Hera Björk,Je Ne Sais Quoi,41,19th
17,2010,Oslo,Ukraine,Alyosha,Sweet People,108,10th
18,2010,Oslo,France,Jessy Matador,Allez Ola Olé,82,12th
19,2010,Oslo,Romania,Paula Seling & Ovi,Playing With Fire,162,3rd
20,2010,Oslo,Russia,Peter Nalitch & Friends,Lost And Forgotten,90,11th
21,2010,Oslo,Armenia,Eva Rivas,Apricot Stone,141,7th
22,2010,Oslo,Germany,Lena,Satellite,246,1st
23,2010,Oslo,Portugal,Filipa Azevedo,Há Dias Assim,43,18th
24,2010,Oslo,Israel,Harel Skaat,Milim,71,14th
25,2010,Oslo,Denmark,Chanée & N'evergreen,In A Moment Like This,149,4th
1,2009,Moscow,Lithuania,Sasha Son,Love,23,23rd
2,2009,Moscow,Israel,Noa & Mira Awad,There Must Be Another Way,53,16th
3,2009,Moscow,France,Patricia Kaas,Et S'il Fallait Le Faire,107,8th
4,2009,Moscow,Sweden,Malena Ernman,La Voix,33,21st
5,2009,Moscow,Croatia,Igor Cukrov feat. Andrea,Lijepa Tena,45,18th
6,2009,Moscow,Portugal,Flor-de-lis,Todas As Ruas Do Amor,57,15th
7,2009,Moscow,Iceland,Yohanna,Is It True?,218,2nd
8,2009,Moscow,Greece,Sakis Rouvas,This Is Our Night,120,7th
9,2009,Moscow,Armenia,Inga & Anush,Jan Jan,92,10th
10,2009,Moscow,Russia,Anastasia Prikhodko,Mamo,91,11th
11,2009,Moscow,Azerbaijan,AySel & Arash,Always,207,3rd
12,2009,Moscow,Bosnia & Herzegovina,Regina,Bistra Voda,106,9th
13,2009,Moscow,Moldova,Nelly Ciobanu,Hora Din Moldova,69,14th
14,2009,Moscow,Malta,Chiara,What If We,31,22nd
15,2009,Moscow,Estonia,Urban Symphony,Rändajad,129,6th
16,2009,Moscow,Denmark,Brinck,Believe Again,74,13th
17,2009,Moscow,Germany,Alex Swings Oscar Sings!,Miss Kiss Kiss Bang,35,20th
18,2009,Moscow,Turkey,Hadise,Düm Tek Tek,177,4th
19,2009,Moscow,Albania,Kejsi Tola,Carry Me In Your Dreams,48,17th
20,2009,Moscow,Norway,Alexander Rybak,Fairytale,387,1st
21,2009,Moscow,Ukraine,Svetlana Loboda,Be my Valentine! (Anti-crisis Girl),76,12th
22,2009,Moscow,Romania,Elena,The Balkan Girls,40,19th
23,2009,Moscow,United Kingdom,Jade Ewen,It's My Time,173,5th
24,2009,Moscow,Finland,Waldo's People,Lose Control,22,25th
25,2009,Moscow,Spain,Soraya,La Noche Es Para Mí (The Night Is For Me),23,24th
1,2008,Belgrade,Romania,Nico & Vlad,Pe-o Margine De Lume,45,20th
2,2008,Belgrade,United Kingdom,Andy Abraham,Even If,14,25th
3,2008,Belgrade,Albania,Olta Boka,Zemrën E Lamë Peng,55,17th
4,2008,Belgrade,Germany,No Angels,Disappear,14,23rd
"5,2008,Belgrade,Armenia,Sirusho,""Qele, Qele"",199,4th"
6,2008,Belgrade,Bosnia & Herzegovina,Laka,Pokušaj,110,10th
7,2008,Belgrade,Israel,Boaz,The Fire In Your Eyes,124,9th
8,2008,Belgrade,Finland,Teräsbetoni,Missä Miehet Ratsastaa,35,22nd
9,2008,Belgrade,Croatia,Kraljevi Ulice & 75 Cents,Romanca,44,21st
10,2008,Belgrade,Poland,Isis Gee,For Life,14,24th
11,2008,Belgrade,Iceland,Euroband,This Is My Life,64,14th
12,2008,Belgrade,Turkey,Mor ve Ötesi,Deli,138,7th
13,2008,Belgrade,Portugal,Vânia Fernandes,Senhora Do Mar (Negras Águas),69,13th
14,2008,Belgrade,Latvia,Pirates Of The Sea,Wolves Of The Sea,83,12th
15,2008,Belgrade,Sweden,Charlotte Perrelli,Hero,47,18th
16,2008,Belgrade,Denmark,Simon Mathew,All Night Long,60,15th
17,2008,Belgrade,Georgia,Diana Gurtskaya,Peace Will Come,83,11th
18,2008,Belgrade,Ukraine,Ani Lorak,Shady Lady,230,2nd
19,2008,Belgrade,France,Sébastien Tellier,Divine,47,19th
20,2008,Belgrade,Azerbaijan,Elnur & Samir,Day After Day,132,8th
21,2008,Belgrade,Greece,Kalomira,Secret Combination,218,3rd
22,2008,Belgrade,Spain,Rodolfo Chikilicuatre,Baila El Chiki Chiki,55,16th
23,2008,Belgrade,Serbia,Jelena Tomašević feat. Bora Dugic,Oro,160,6th
24,2008,Belgrade,Russia,Dima Bilan,Believe,272,1st
25,2008,Belgrade,Norway,Maria,Hold On Be Strong,182,5th
1,2007,Helsinki,Bosnia & Herzegovina,Marija Sestic,Rijeka Bez Imena,106,11th
2,2007,Helsinki,Spain,NASH,I Love You Mi Vida,43,20th
3,2007,Helsinki,Belarus,Dmitry Koldun,Work Your Magic,145,6th
4,2007,Helsinki,Ireland,Dervish,They Can't Stop The Spring,5,24th
5,2007,Helsinki,Finland,Hanna Pakarinen,Leave Me Alone,53,17th
6,2007,Helsinki,North Macedonia,Karolina,Mojot Svet,73,14th
7,2007,Helsinki,Slovenia,Alenka Gotar,Cvet Z Juga,66,15th
8,2007,Helsinki,Hungary,Magdi Rúzsa,Unsubstantial Blues,128,9th
9,2007,Helsinki,Lithuania,4Fun,Love Or Leave,28,21st
10,2007,Helsinki,Greece,Sarbel,Yassou Maria,139,7th
11,2007,Helsinki,Georgia,Sopho,Visionary Dream,97,12th
12,2007,Helsinki,Sweden,The Ark,The Worrying Kind,51,18th
13,2007,Helsinki,France,Les Fatals Picards,L'amour à La Française,19,22nd
14,2007,Helsinki,Latvia,Bonaparti.lv,Questa Notte,54,16th
15,2007,Helsinki,Russia,Serebro,Song # 1,207,3rd
16,2007,Helsinki,Germany,Roger Cicero,Frauen Regieren Die Welt,49,19th
17,2007,Helsinki,Serbia,Marija Šerifović,Molitva,268,1st
18,2007,Helsinki,Ukraine,Verka Serduchka,Dancing Lasha Tumbai,235,2nd
19,2007,Helsinki,United Kingdom,Scooch,Flying The Flag (for You),19,22nd
"20,2007,Helsinki,Romania,Todomondo,""Liubi, Liubi, I Love You"",84,13th"
21,2007,Helsinki,Bulgaria,Elitsa Todorova & Stoyan Yankulov,Water,157,5th
22,2007,Helsinki,Turkey,Kenan Dogulu,Shake It Up Shekerim,163,4th
23,2007,Helsinki,Armenia,Hayko,Anytime You Need,138,8th
24,2007,Helsinki,Moldova,Natalia Barbu,Fight,109,10th
1,2006,Athens,Switzerland,Six4One,If We All Give A Little,30,16th
2,2006,Athens,Moldova,Arsenium & Natalia Gordienko,Loca,22,20th
3,2006,Athens,Israel,Eddie Butler,Ze Hazman,4,23rd
4,2006,Athens,Latvia,Cosmos,I Hear Your Heart,30,16th
5,2006,Athens,Norway,Christine Guldbrandsen,Alvedansen,36,14th
6,2006,Athens,Spain,Las Ketchup,Bloody Mary,18,21st
7,2006,Athens,Malta,Fabrizio Faniello,I Do,1,24th
"8,2006,Athens,Germany,Texas Lightning,""No, No, Never"",36,14th"
9,2006,Athens,Denmark,Sidsel Ben Semmane,Twist Of Love,26,18th
10,2006,Athens,Russia,Dima Bilan,Never Let You Go,248,2nd
11,2006,Athens,North Macedonia,Elena Risteska,Ninanajna,56,12th
