R/O,Year,Host_City,Country,Contestant,Song,Points,Place
12,2006,Athens,Romania,Mihai Traistariu,Tornero,172,4th
13,2006,Athens,Bosnia & Herzegovina,Hari Mata Hari,Lejla,229,3rd
14,2006,Athens,Lithuania,LT United,We Are The Winners,162,6th
15,2006,Athens,United Kingdom,Daz Sampson,Teenage Life,25,19th
16,2006,Athens,Greece,Anna Vissi,Everything,128,9th
17,2006,Athens,Finland,Lordi,Hard Rock Hallelujah,292,1st
18,2006,Athens,Ukraine,Tina Karol,Show Me Your Love,145,7th
19,2006,Athens,France,Virginie Pouchin,Il était Temps,5,22nd
20,2006,Athens,Croatia,Severina,Moja Štikla,56,12th
21,2006,Athens,Ireland,Brian Kennedy,Every Song Is A Cry For Love,93,10th
22,2006,Athens,Sweden,Carola,Invincible,170,5th
23,2006,Athens,Turkey,Sibel Tüzün,Superstar,91,11th
24,2006,Athens,Armenia,André,Without Your Love,129,8th
1,2005,Kyiv,Hungary,NOX,Forogj Világ,97,12th
2,2005,Kyiv,United Kingdom,Javine,Touch My Fire,18,22nd
3,2005,Kyiv,Malta,Chiara,Angel,192,2nd
4,2005,Kyiv,Romania,Luminita Anghel & Sistem,Let Me Try,158,3rd
5,2005,Kyiv,Norway,Wig Wam,In My Dreams,125,9th
6,2005,Kyiv,Turkey,Gülseren,Rimi Rimi Ley,92,13th
7,2005,Kyiv,Moldova,Zdob si Zdub,Boonika Bate Toba,148,6th
8,2005,Kyiv,Albania,Ledina Celo,Tomorrow I Go,53,16th
9,2005,Kyiv,Cyprus,Constantinos Christoforou,Ela Ela,46,18th
10,2005,Kyiv,Spain,Son de sol,Brujería,28,21st
11,2005,Kyiv,Israel,Shiri Maymon,Hasheket Shenish'ar,154,4th
12,2005,Kyiv,Serbia & Montenegro,No Name,Zauvijek Moja,137,7th
13,2005,Kyiv,Denmark,Jakob Sveistrup,Talking To You,125,9th
14,2005,Kyiv,Sweden,Martin Stenmarck,Las Vegas,30,19th
15,2005,Kyiv,North Macedonia,Martin Vucic,Make My Day,52,17th
16,2005,Kyiv,Ukraine,Greenjolly,Razom Nas Bahato,30,19th
17,2005,Kyiv,Germany,Gracia,Run & Hide,4,24th
18,2005,Kyiv,Croatia,Boris Novkovic feat. Lado members,Vukovi Umiru Sami,115,11th
19,2005,Kyiv,Greece,Helena Paparizou,My Number One,230,1st
20,2005,Kyiv,Russia,Natalia Podolskaya,Nobody Hurt No One,57,15th
21,2005,Kyiv,Bosnia & Herzegovina,Feminnem,Call Me,79,14th
22,2005,Kyiv,Switzerland,Vanilla Ninja,Cool Vibes,128,8th
23,2005,Kyiv,Latvia,Walter & Kazha,The War Is Not Over,153,5th
24,2005,Kyiv,France,Ortal,Chacun Pense à Soi,11,23rd
1,2004,Istanbul,Spain,Ramón,Para Llenarme De Ti,87,10th
2,2004,Istanbul,Austria,Tie Break,Du Bist,9,21st
3,2004,Istanbul,Norway,Knut Anders Sørum,High,3,24th
4,2004,Istanbul,France,Jonatan Cerrada,A Chaque Pas,40,15th
5,2004,Istanbul,Serbia & Montenegro,Željko Joksimović,Lane Moje,263,2nd
6,2004,Istanbul,Malta,Julie & Ludwig,On Again... Off Again,50,12th
7,2004,Istanbul,The Netherlands,Re-union,Without You,11,20th
8,2004,Istanbul,Germany,Max (Maximilian Mutzke),Can't Wait Until Tonight,93,8th
9,2004,Istanbul,Albania,Anjeza Shahini,The Image Of You,106,7th
10,2004,Istanbul,Ukraine,Ruslana,Wild Dances,280,1st
11,2004,Istanbul,Croatia,Ivan Mikulic,You Are The Only One,50,12th
12,2004,Istanbul,Bosnia & Herzegovina,Deen,In The Disco,91,9th
13,2004,Istanbul,Belgium,Xandee,1 Life,7,22nd
14,2004,Istanbul,Russia,Julia Savicheva,Believe Me,67,11th
15,2004,Istanbul,North Macedonia,Tose Proeski,Life,47,14th
16,2004,Istanbul,Greece,Sakis Rouvas,Shake It,252,3rd
17,2004,Istanbul,Iceland,Jónsi,Heaven,16,19th
18,2004,Istanbul,Ireland,Chris Doran,If My World Stopped Turning,7,22nd
19,2004,Istanbul,Poland,Blue Cafe,Love Song,27,17th
20,2004,Istanbul,United Kingdom,James Fox,Hold On To Our Love,29,16th
21,2004,Istanbul,Cyprus,Lisa Andreas,Stronger Every Minute,170,5th
22,2004,Istanbul,Turkey,Athena,For Real,195,4th
23,2004,Istanbul,Romania,Sanda Ladosi,I Admit,18,18th
24,2004,Istanbul,Sweden,Lena Philipsson,It Hurts,170,5th
1,2003,Riga,Iceland,Birgitta,Open Your Heart,81,8th
2,2003,Riga,Austria,Alf Poier,Weil Der Mensch Zählt,101,6th
3,2003,Riga,Ireland,Mickey Harte,Weve Got The World,53,11th
4,2003,Riga,Turkey,Sertab Erener,Everyway That I Can,167,1st
5,2003,Riga,Malta,Lynn Chirchop,To Dream Again,4,25th
6,2003,Riga,Bosnia & Herzegovina,Mija Martina,Ne Brini,27,16th
7,2003,Riga,Portugal,Rita Guerra,Deixa-me Sonhar,13,22nd
8,2003,Riga,Croatia,Claudia Beni,Vie Nisam Tvoja,29,15th
9,2003,Riga,Cyprus,Stelios Constantas,Feeling Alive,15,20th
10,2003,Riga,Germany,Lou,Let's Get Happy,53,11th
"11,2003,Riga,Russia,t.A.T.u.,""Ne Ver, Ne Boisia"",164,3rd"
12,2003,Riga,Spain,Beth,Dime,81,8th
13,2003,Riga,Israel,Lior Narkis,Words For Love,17,19th
14,2003,Riga,The Netherlands,Esther Hart,One More Night,45,13th
15,2003,Riga,United Kingdom,Jemini,Cry Baby,—,26th
16,2003,Riga,Ukraine,Olexandr,Hasta La Vista,30,14th
17,2003,Riga,Greece,Mando,Never Let You Go,25,17th
18,2003,Riga,Norway,Jostein Hasselgård,I'm Not Afraid To Move On,123,4th
19,2003,Riga,France,Louisa Baileche,Monts Et Merveilles,19,18th
20,2003,Riga,Poland,Ich Troje,Keine Grenzen - Zadnych Granic,90,7th
21,2003,Riga,Latvia,F.L.Y.,Hello From Mars,5,24th
22,2003,Riga,Belgium,Urban Trad,Sanomi,165,2nd
23,2003,Riga,Estonia,Ruffus,Eighties Coming Back,14,21st
24,2003,Riga,Romania,Nicola,Dont Break My Heart,73,10th
25,2003,Riga,Sweden,Fame,Give Me Your Love,107,5th
26,2003,Riga,Slovenia,Karmen,Nanana,7,23rd
1,2002,Tallinn,Cyprus,One,Gimme,85,6th
2,2002,Tallinn,United Kingdom,Jessica Garlick,Come Back,111,3rd
3,2002,Tallinn,Austria,Manuel Ortega,Say A Word,26,18th
4,2002,Tallinn,Greece,Michalis Rakintzis,S.A.G.A.P.O.,27,17th
5,2002,Tallinn,Spain,Rosa,Europe's Living A Celebration,81,7th
6,2002,Tallinn,Croatia,Vesna Pisarovic,Everything I Want,44,11th
7,2002,Tallinn,Russia,Prime minister,Northern Girl,55,10th
8,2002,Tallinn,Estonia,Sahléne,Runaway,111,3rd
9,2002,Tallinn,North Macedonia,Karolina,Od Nas Zavisi,25,19th
10,2002,Tallinn,Israel,Sarit Hadad,Light A Candle,37,12th
11,2002,Tallinn,Switzerland,Francine Jordi,Dans Le Jardin De Mon Âme,15,22nd
12,2002,Tallinn,Sweden,Afro-dite,Never Let It Go,72,8th
13,2002,Tallinn,Finland,Laura,Addicted To You,24,20th
14,2002,Tallinn,Denmark,Malene,Tell Me Who You Are,7,24th
15,2002,Tallinn,Bosnia & Herzegovina,Maja,Na Jastuku Za Dvoje,33,13th
16,2002,Tallinn,Belgium,Sergio & the Ladies,Sister,33,13th
17,2002,Tallinn,France,Sandrine François,Il Faut Du Temps,104,5th
18,2002,Tallinn,Germany,Corinna May,I Can't Live Without Music,17,21st
19,2002,Tallinn,Turkey,Buket Bengisu & Saphire,Leylaklar Soldu Kalbinde,29,16th
20,2002,Tallinn,Malta,Ira Losco,7th Wonder,164,2nd
21,2002,Tallinn,Romania,Monica Anghel & Marcel Pavel,Tell Me Why,71,9th
22,2002,Tallinn,Slovenia,Sestre,Samo Ljubezen,33,13th
23,2002,Tallinn,Latvia,Marie N,I Wanna,176,1st
24,2002,Tallinn,Lithuania,Aivaras,Happy You,12,23rd
1,2001,Copenhagen,The Netherlands,Michelle,Out On My Own,16,18th
2,2001,Copenhagen,Iceland,TwoTricky,Angel,3,22nd
3,2001,Copenhagen,Bosnia & Herzegovina,Nino,Hano,29,14th
4,2001,Copenhagen,Norway,Haldor Lægreid,On My Own,3,22nd
5,2001,Copenhagen,Israel,Tal Sondak,Ein Davar,25,16th
6,2001,Copenhagen,Russia,Mumiy troll,Lady Alpine Blue,37,12th
7,2001,Copenhagen,Sweden,Friends,Listen To Your Heartbeat,100,5th
8,2001,Copenhagen,Lithuania,Skamp,You Got Style,35,13th
9,2001,Copenhagen,Latvia,Arnis Mednis,Too Much,16,18th
10,2001,Copenhagen,Croatia,Vanna,Strings Of My Heart,42,10th
11,2001,Copenhagen,Portugal,MTM,Só Sei Ser Feliz Assim,18,17th
12,2001,Copenhagen,Ireland,Gary O'Shaughnessy,Without Your Love,6,21st
13,2001,Copenhagen,Spain,David Civera,Dile Que La Quiero,76,6th
14,2001,Copenhagen,France,Natasha Saint-Pier,Je N'ai Que Mon âme,142,4th
15,2001,Copenhagen,Turkey,Sedat Yüce,Sevgiliye Son,41,11th
16,2001,Copenhagen,United Kingdom,Lindsay D.,No Dream Impossible,28,15th
17,2001,Copenhagen,Slovenia,Nua Derenda,Energy,70,7th
18,2001,Copenhagen,Poland,Piasek,2 Long,11,20th
19,2001,Copenhagen,Germany,Michelle,Wer Liebe Lebt,66,8th
"20,2001,Copenhagen,Estonia,""Tanel Padar, Dave Benton & 2XL"",Everybody,198,1st"
21,2001,Copenhagen,Malta,Fabrizio Faniello,Another Summer Night,48,9th
22,2001,Copenhagen,Greece,Antique,Die For You,147,3rd
23,2001,Copenhagen,Denmark,Rollo & King,Never Ever Let You Go,177,2nd
1,2000,Stockholm,Israel,Ping Pong,Sa'me'akh,7,22nd
2,2000,Stockholm,The Netherlands,Linda Wagenmakers,No Goodbyes,40,13th
3,2000,Stockholm,United Kingdom,Nicki French,Don't Play That Song Again,28,16th
4,2000,Stockholm,Estonia,Ines,Once In A Lifetime,98,4th
5,2000,Stockholm,France,Sofia Mestari,On Aura Le Ciel,5,23rd
6,2000,Stockholm,Romania,Taxi,The Moon,25,17th
7,2000,Stockholm,Malta,Claudette Pace,Desire,73,8th
8,2000,Stockholm,Norway,Charmed,My Heart Goes Boom,57,11th
9,2000,Stockholm,Russia,Alsou,Solo,155,2nd
10,2000,Stockholm,Belgium,Nathalie Sorce,Envie De Vivre,2,24th
11,2000,Stockholm,Cyprus,Voice,Nomiza,8,21st
12,2000,Stockholm,Iceland,Einer Augúst Víðisson en Telma Augústdóttir,Tell Me!,45,12th
13,2000,Stockholm,Spain,Serafín Zubiri,Colgado De Un Sueño,18,18th
14,2000,Stockholm,Denmark,Olsen brothers,Fly On The Wings Of Love,195,1st
15,2000,Stockholm,Germany,Stefan Raab,Wadde Hadde Dudde Da,96,5th
16,2000,Stockholm,Switzerland,Jane Bogaert,La Vita Cos'è?,14,20th
17,2000,Stockholm,Croatia,Goran Karan,Kada Zaspu Andeli,70,9th
18,2000,Stockholm,Sweden,Roger Pontare,When Spirits Are Calling My Name,88,7th
19,2000,Stockholm,North Macedonia,XXL,100\% Te Ljubam,29,15th
20,2000,Stockholm,Finland,Nina Åström,A Little Bit,18,18th
21,2000,Stockholm,Latvia,BrainStorm,My Star,136,3rd
22,2000,Stockholm,Turkey,Pinar Ayhan & S.O.S. band,Yorgunum Anla,59,10th
23,2000,Stockholm,Ireland,Eamonn Toal,Millennium Of Love,92,6th
24,2000,Stockholm,Austria,The rounder girls,All To You,34,14th
1,1999,Jerusalem,Lithuania,Aiste Smilgeviciute,Strazdas,13,20th
2,1999,Jerusalem,Belgium,Vanessa Chinitor,Like The Wind,38,12th
3,1999,Jerusalem,Spain,Lydia,No Quiero Escuchar,1,23rd
4,1999,Jerusalem,Croatia,Doris Dragovic,Marija Magdalena,118,4th
5,1999,Jerusalem,United Kingdom,Precious,Say It Again,38,12th
6,1999,Jerusalem,Slovenia,Darja Svajger,For A Thousand Years,50,11th
7,1999,Jerusalem,Turkey,Tuba Önal & Grup Mystik,Dön Artik,21,16th
8,1999,Jerusalem,Norway,Stig André Van Eijk,Living My Life Without You,35,14th
9,1999,Jerusalem,Denmark,Trine Jepsen & Michael Teschl,This Time (i Mean It),71,8th
10,1999,Jerusalem,France,Nayah,Je Veux Donner Ma Voix,14,19th
11,1999,Jerusalem,The Netherlands,Marlayne,One Good Reason,71,8th
12,1999,Jerusalem,Poland,Mietek (Mieczyslaw) Szczesniak,Przytul Mnie Mocno,17,18th
13,1999,Jerusalem,Iceland,Selma Björnsdóttir,All Out Of Luck,146,2nd
14,1999,Jerusalem,Cyprus,Marlain Angelidou,Tha'nai Erotas,2,22nd
15,1999,Jerusalem,Sweden,Charlotte Nilsson,Take Me To Your Heaven,163,1st
16,1999,Jerusalem,Portugal,Rui Bandeira,Como Tudo Começou,12,21st
17,1999,Jerusalem,Ireland,The Mullan's,When You Need Me,18,17th
18,1999,Jerusalem,Austria,Bobbie Singer,Reflection,65,10th
19,1999,Jerusalem,Israel,Eden,Yom Huledeth,93,5th
20,1999,Jerusalem,Malta,Times 3,Believe 'n Peace,32,15th
21,1999,Jerusalem,Germany,Sürpriz,Reise Nach Jerusalem - Kudüs'e Seyahat,140,3rd
22,1999,Jerusalem,Bosnia & Herzegovina,Dino and Beatrice,Putnici,86,7th
23,1999,Jerusalem,Estonia,Evelin Samuel and Camille,Diamond Of Night,90,6th
1,1998,Birmingham,Croatia,Danijela,Neka Mi Ne Svane,131,5th
2,1998,Birmingham,Greece,Dionysia and Thalassa group,Mia Krifi Evaisthissia,12,20th
3,1998,Birmingham,France,Marie-Line,Où Aller,3,24th
4,1998,Birmingham,Spain,Mikel Herzog,¿Qué Voy A Hacer Sin Ti?,21,16th
5,1998,Birmingham,Switzerland,Gunvor,Lass Ihn,—,25th
6,1998,Birmingham,Slovakia,Katarína Hasprová,Modlitba,8,21st
7,1998,Birmingham,Poland,Sixteen,To Takie Proste,19,17th
8,1998,Birmingham,Israel,Dana International,Diva,172,1st
9,1998,Birmingham,Germany,Guildo Horn,Guildo Hat Euch Lieb,86,7th
10,1998,Birmingham,Malta,Chiara,The One That I Love,165,3rd
11,1998,Birmingham,Hungary,Charlie,A Holnap Már Ném Lesz Szomorú,4,23rd
12,1998,Birmingham,Slovenia,Vili Resnik,Naj Bogovi Sliijo,17,18th
13,1998,Birmingham,Ireland,Dawn,Is Always Over Now?,64,9th
14,1998,Birmingham,Portugal,Alma Lusa,Se Eu Te Pudesse Abraçar,36,12th
15,1998,Birmingham,Romania,Malina Olinescu,Eu Cred,6,22nd
16,1998,Birmingham,United Kingdom,Imaani,Where Are You?,166,2nd
17,1998,Birmingham,Cyprus,Michael Hajiyanni,Genesis,37,11th
18,1998,Birmingham,The Netherlands,Edsilia Rombley,Hemel En Aarde,150,4th
19,1998,Birmingham,Sweden,Jill Johnson,Kärleken är,53,10th
20,1998,Birmingham,Belgium,Mélanie Cohl,Dis Oui,122,6th
21,1998,Birmingham,Finland,Edea,Aava,22,15th
22,1998,Birmingham,Norway,Lars A. Fredriksen,Alltid Sommer,79,8th
23,1998,Birmingham,Estonia,Koit Toome,Mere Lapsed,36,12th
24,1998,Birmingham,Turkey,Tüzmen,Unutamazsin,25,14th
"25,1998,Birmingham,North Macedonia,Vlado Janevski,""Ne Zori, Zoro"",16,19th"
1,1997,Dublin,Cyprus,Chara and Andreas Konstantinou,Mana Mou,98,5th
2,1997,Dublin,Turkey,Sebnem Paker and Group Etnic,Dinle,121,3rd
3,1997,Dublin,Norway,Tor Endresen,San Francisco,—,24th
4,1997,Dublin,Austria,Bettina Soriat,One Step,12,21st
5,1997,Dublin,Ireland,Marc Roberts,Mysterious Woman,157,2nd
6,1997,Dublin,Slovenia,Tanja Ribic,Zbudi Se,60,10th
7,1997,Dublin,Switzerland,Barbara Berta,Dentro Di Me,5,22nd
8,1997,Dublin,The Netherlands,Mrs. Einstein,Niemand Heeft Nog Tijd,5,22nd
9,1997,Dublin,Italy,Jalisse,Fiumi Di Parole,114,4th
10,1997,Dublin,Spain,Marcos Llunas,Sin Rencor,96,6th
11,1997,Dublin,Germany,Bianca Shomburg,Zeit,22,18th
12,1997,Dublin,Poland,Anna Maria Jopek,Ale Jestem,54,11th
13,1997,Dublin,Estonia,Maarja-Liis Ilus,Keelatud Maa,82,8th
14,1997,Dublin,Bosnia & Herzegovina,Alma Cardzic,Goodbye,22,18th
15,1997,Dublin,Portugal,Célia Lawson,Antes Do Adeus,—,24th
16,1997,Dublin,Sweden,Blond,Bara Hon älskar Mig,36,14th
17,1997,Dublin,Greece,Marianna Zorba,Horepse,39,12th
18,1997,Dublin,Malta,Debbie Scerri,Let Me Fly,66,9th
"19,1997,Dublin,Hungary,VIP,""Miert Kell, Hogy Elmenj?"",39,12th"
20,1997,Dublin,Russia,Alla Pugachova,Primadonna,33,15th
21,1997,Dublin,Denmark,Kølig Kaj,Stemmen I Mit Liv,25,16th
22,1997,Dublin,France,Fanny,Sentiments Songes,95,7th
23,1997,Dublin,Croatia,ENI,Probudi Me,24,17th
24,1997,Dublin,United Kingdom,Katrina and The Waves,Love Shine A Light,227,1st
25,1997,Dublin,Iceland,Paul Oscar,Minn Hinsti Dans,18,20th
1,1996,Oslo,Turkey,Şebnem Paker,Besinçi Mevsim,57,12th
2,1996,Oslo,United Kingdom,Gina G,Ooh...Aah...Just A Little Bit,77,8th
"3,1996,Oslo,Spain,Antonio Carbonell,""¡Ay, Qué Deseo!"",17,20th"
4,1996,Oslo,Portugal,Lúcia Moniz,O Meu Coração Não Tem Cor,92,6th
5,1996,Oslo,Cyprus,Constantinos,Móno Gia Más,72,9th
6,1996,Oslo,Malta,Miriam Christine,In A Woman's Heart,68,10th
7,1996,Oslo,Croatia,Maja Blagdan,Sveta Ljubav,98,4th
8,1996,Oslo,Austria,George Nußbaumer,Weil's Dr Guat Got,68,10th
9,1996,Oslo,Switzerland,Cathy Leander,Mon Coeur L'aime,22,16th
10,1996,Oslo,Greece,Marianna Efstratiou,Emis Forame To Himona Anixiatika,36,14th
11,1996,Oslo,Estonia,Ivo Linna and Maarja-Liis Ilus,Kaelakee Hääl,94,5th
12,1996,Oslo,Norway,Elisabeth Andreasson,I Evighet,114,2nd
13,1996,Oslo,France,Dan Ar Braz et l'Héritage des Celtes,Diwanit Bugale,18,19th
14,1996,Oslo,Slovenia,Regina,Dan najlepših sanj,16,21st
15,1996,Oslo,The Netherlands,Maxine and Franklin Brown,De Eerste Keer,78,7th
16,1996,Oslo,Belgium,Lisa del Bo,Liefde Is Een Kaartspel,22,16th
17,1996,Oslo,Ireland,Eimear Quinn,The Voice,162,1st
18,1996,Oslo,Finland,Jasmine,Niin Kaunis On Taivas,9,23rd
19,1996,Oslo,Iceland,Anna Mjöll,Sjúbídú,51,13th
20,1996,Oslo,Poland,Kasia Kowalska,Chce Znac Swój Grzech,31,15th
21,1996,Oslo,Bosnia & Herzegovina,Amila Glamocak,Za Nau Ljubav,13,22nd
22,1996,Oslo,Slovakia,Marcel Palonder,Kým Nás Má,19,18th
23,1996,Oslo,Sweden,One More Time,Den Vilda,100,3rd
1,1995,Dublin,Poland,Justyna,Sama,15,18th
2,1995,Dublin,Ireland,Eddie Friel,Dreamin',44,14th
3,1995,Dublin,Germany,Stone and Stone,Verliebt In Dich,1,23rd
4,1995,Dublin,Bosnia & Herzegovina,Davor Popovic,Dvadeset I Prvi Vijek,14,19th
5,1995,Dublin,Norway,Secret Garden,Nocturne,148,1st
6,1995,Dublin,Russia,Philipp Kirkorov,Kolybelnaya Dlya Vulkana,17,17th
7,1995,Dublin,Iceland,Bó Halldórsson,Núna,31,15th
8,1995,Dublin,Austria,Stella Jones,Die Welt Dreht Sich Verkehrt,67,13th
9,1995,Dublin,Spain,Anabel Conde,Vuelve Conmigo,119,2nd
10,1995,Dublin,Turkey,Arzu Ece,Sev!,21,16th
11,1995,Dublin,Croatia,Magazin and Lidija,Nostalgija,91,6th
12,1995,Dublin,France,Nathalie Santamaria,Il Me Donne Rendez-vous,94,4th
13,1995,Dublin,Hungary,Czaba Szigeti,Ùj Nèv Egy Règi Hàz Fàlan,3,22nd
14,1995,Dublin,Belgium,Frédéric Etherlinck,La Voix Est Libre,8,20th
15,1995,Dublin,United Kingdom,Love City Groove,Love City Groove,76,10th
16,1995,Dublin,Portugal,Tó Cruz,Baunilha E Chocolate,5,21st
17,1995,Dublin,Cyprus,Alexandros Panayi,Sti Fotia,79,9th
18,1995,Dublin,Sweden,Jan Johansen,Se På Mej,100,3rd
19,1995,Dublin,Denmark,Aud Wilken,Fra Mols Til Skagen,92,5th
20,1995,Dublin,Slovenia,Darja Svajger,Prisluhni Mi,84,7th
21,1995,Dublin,Israel,Liora,Amen,81,8th
22,1995,Dublin,Malta,Mike Spiteri,Keep Me In Mind,76,10th
23,1995,Dublin,Greece,Elina Constantopoulou,Pia Prossefchi,68,12th
1,1994,Dublin,Sweden,Marie Bergman and Roger Pontare,Stjärnorna,48,13th
2,1994,Dublin,Finland,CatCat,Bye Bye Baby,11,22nd
3,1994,Dublin,Ireland,Paul Harrington and Charlie McGettigan,Rock 'n' Roll Kids,226,1st
4,1994,Dublin,Cyprus,Evridiki,Ime Anthropos Ke Ego,51,11th
5,1994,Dublin,Iceland,Sigga,Nætur,49,12th
6,1994,Dublin,United Kingdom,Frances Ruffelle,We Will Be Free (lonely Symphony),63,10th
7,1994,Dublin,Croatia,Tony Cetinski,Nek'ti Bude Ljubav Sva,27,16th
8,1994,Dublin,Portugal,Sara Tavares,Chamar A Música,73,8th
9,1994,Dublin,Switzerland,Duilio,Sto Pregando,15,19th
10,1994,Dublin,Estonia,Silvi Vrait,Nagu Merelaine,2,24th
11,1994,Dublin,Romania,Dan Bittman,Dincolo De Nori,14,21st
12,1994,Dublin,Malta,Moira Stafrace and Christopher Scicluna,More Than Love,97,5th
13,1994,Dublin,The Netherlands,Willeke Alberti,Waar Is De Zon,4,23rd
14,1994,Dublin,Germany,MeKaDo,Wir Geben 'ne Party,128,3rd
15,1994,Dublin,Slovakia,Martin Durinda and Tublatanka,Nekovecná Piesen,15,19th
16,1994,Dublin,Lithuania,Ovidijus Vyšniauskas,Lopšinė Mylimai,—,25th
17,1994,Dublin,Norway,Elisabeth Andreasson and Jan Werner Danielsen,Duett,76,6th
18,1994,Dublin,Bosnia & Herzegovina,Alma and Dejan,Ostani Kraj Mene,39,15th
19,1994,Dublin,Greece,Costas Bigalis and the Sea Lovers,To Trehantiri (diri Diri),44,14th
20,1994,Dublin,Austria,Petra Frey,Für Den Frieden Der Welt,19,17th
21,1994,Dublin,Spain,Alejandro Abad,Ella No Es Ella,17,18th
22,1994,Dublin,Hungary,Friderika Bayer,Kinek Mondjam El Vétkeimet,122,4th
23,1994,Dublin,Russia,Youddiph,Vechni Stranik,70,9th
24,1994,Dublin,Poland,Edyta Górniak,To Nie Ja!,166,2nd
25,1994,Dublin,France,Nina Morato,Je Suis Un Vrai Garçon,74,7th
1,1993,Millstreet,Italy,Enrico Ruggeri,Sole D'europa,45,12th
"2,1993,Millstreet,Turkey,""Burak Aydos, Öztürk Baybora & Serter"",Esmer Yarim,10,21st"
3,1993,Millstreet,Germany,Münchener Freiheit,Viel Zu Weit,18,18th
"4,1993,Millstreet,Switzerland,Annie Cotton,""Moi, Tout Simplement"",148,3rd"
5,1993,Millstreet,Denmark,Tommy Seebach Band,Under Stjernerne På Himlen,9,22nd
"6,1993,Millstreet,Greece,Kaiti Garbi,""Ellada, Hora Tou Fotos"",64,9th"
7,1993,Millstreet,Belgium,Barbara,Iemand Als Jij,3,25th
8,1993,Millstreet,Malta,William Mangion,This Time,69,8th
9,1993,Millstreet,Iceland,Inga,þá Veistu Svarið,42,13th
10,1993,Millstreet,Austria,Tony Wegas,Maria Magdalena,32,14th
11,1993,Millstreet,Portugal,Anabela,A Cidade Até Ser Dia,60,10th
12,1993,Millstreet,France,Patrick Fiori,Mama Corsica,121,4th
13,1993,Millstreet,Sweden,Arvingarna,Eloïse,89,7th
14,1993,Millstreet,Ireland,Niamh Kavanagh,In Your Eyes,187,1st
15,1993,Millstreet,Luxembourg,Modern Times,Donne-moi Une Chance,11,20th
16,1993,Millstreet,Slovenia,1X Band,Tih Dezeven Dan,9,22nd
17,1993,Millstreet,Finland,Katri-Helena,Tule Luo,20,17th
18,1993,Millstreet,Bosnia & Herzegovina,Fazla,Sva Bol Svijeta,27,16th
19,1993,Millstreet,United Kingdom,Sonia,Better The Devil You Know,164,2nd
20,1993,Millstreet,The Netherlands,Ruth Jacott,Vrede,92,6th
21,1993,Millstreet,Croatia,Put,Don't Ever Cry,31,15th
22,1993,Millstreet,Spain,Eva Santamaria,Hombres,58,11th
23,1993,Millstreet,Cyprus,Kyriakos Zymboulakis and Demos Van Beke,Mi Stamatas,17,19th
24,1993,Millstreet,Israel,Lakahat Shiru,Shiru,4,24th
25,1993,Millstreet,Norway,Silje Vige,Alle Mine Tankar,120,5th
1,1992,Malmo,Spain,Serafin,Todo Esto Es La Música,37,14th
2,1992,Malmo,Belgium,Morgane,Nous On Veut Des Violons,11,20th
3,1992,Malmo,Israel,Dafna,Ze Rak Sport,85,6th
4,1992,Malmo,Turkey,Aylin Vatankos,Yaz Bitti,17,19th
5,1992,Malmo,Greece,Cleopatra,Olou Tou Kosmou I Elpida,94,5th
6,1992,Malmo,France,Kali,Monté La Riviè,73,8th
