R/O,Year,Host_City,Country,Contestant,Song,Points,Place
7,1992,Malmo,Sweden,Christer Björkman,I Morgon är En Annan Dag,9,22nd
8,1992,Malmo,Portugal,Diná,Amor D'água Fresca,26,17th
9,1992,Malmo,Cyprus,Evridiki,Teriazoume,57,11th
10,1992,Malmo,Malta,Mary Spiteri,Little Child,123,3rd
11,1992,Malmo,Iceland,Heart 2 Heart,Nei Eða Já,80,7th
12,1992,Malmo,Finland,Pave,Yamma Yamma,4,23rd
13,1992,Malmo,Switzerland,Daisy Auvray,Mister Music Man,32,15th
14,1992,Malmo,Luxembourg,Marion Welter and Kontinent,Sou Fräi,10,21st
15,1992,Malmo,Austria,Tony Wegas,Zusammen Geh'n,63,10th
16,1992,Malmo,United Kingdom,Michael Ball,One Step Out Of Time,139,2nd
17,1992,Malmo,Ireland,Linda Martin,Why Me,155,1st
18,1992,Malmo,Denmark,Lotte Nilsson and Kenny Lübcke,Ålt Det Som Ingen Ser,47,12th
19,1992,Malmo,Italy,Mia Martini,Rapsodia,111,4th
20,1992,Malmo,Yugoslavia,Extra Nena,Ljubim Te Pesmama,44,13th
21,1992,Malmo,Norway,Merethe Trøan,Visjoner,23,18th
22,1992,Malmo,Germany,Wind,Träume Sind Für Alle Da,27,16th
23,1992,Malmo,The Netherlands,Humphrey Campbell,Wijs Me De Weg,67,9th
1,1991,Rome,Yugoslavia,Baby Doll,Brazil,1,21st
2,1991,Rome,Iceland,Stefán and Eyfi,Nina,26,15th
3,1991,Rome,Malta,Paul Giordimaina and Georgina,Could It Be,106,6th
4,1991,Rome,Greece,Sofia Vossou,I Anixi,36,13th
5,1991,Rome,Switzerland,Sandra Simò,Canzone Per Te,118,5th
6,1991,Rome,Austria,Thomas Forstner,Venedig Im Regen,—,22nd
7,1991,Rome,Luxembourg,Sarah Bray,Un Baiser Volé,29,14th
8,1991,Rome,Sweden,Carola,Fångad Av En Stormvind,146,1st
9,1991,Rome,France,Amina,C'est Le Dernier Qui A Parlé Qui A Raison,146,2nd
"10,1991,Rome,Turkey,""Izel Çeliköz, Rayhan Soykarçi and Can Ugurluér"",Iki Dakika,44,12th"
11,1991,Rome,Ireland,Kim Jackson,Could It Be That I'm In Love,47,10th
12,1991,Rome,Portugal,Dulce,Lusitana Paixão,62,8th
13,1991,Rome,Denmark,Anders Frandsen,Lige Der Hvor Hjertet Slår,8,19th
14,1991,Rome,Norway,Just 4 Fun,Mrs. Thompson,14,17th
15,1991,Rome,Israel,Duo Datz,Kan,139,3rd
16,1991,Rome,Finland,Kaija,Hullu Yö,6,20th
17,1991,Rome,Germany,Atlantis 2000,Dieser Traum Darf Niemals Sterben,10,18th
18,1991,Rome,Belgium,Clouseau,Geef Het Op,23,16th
19,1991,Rome,Spain,Sergio Dalma,Bailar Pegados,119,4th
20,1991,Rome,United Kingdom,Samantha Janus,A Message To Your Heart,47,10th
21,1991,Rome,Cyprus,Elena Patroclou,S.o.s.,60,9th
22,1991,Rome,Italy,Peppino di Capri,Comme E' Ddoce 'o Mare,89,7th
1,1990,Zagreb,Spain,Azúcar Moreno,Bandido,96,5th
2,1990,Zagreb,Greece,Christos Callow and Wave,Horis Skopo,11,19th
3,1990,Zagreb,Belgium,Philippe Lafontaine,Macédomienne,46,12th
4,1990,Zagreb,Turkey,Kayahan,Gözlerinin Hapsindeyim,21,17th
5,1990,Zagreb,The Netherlands,Maywood,Ik Wil Alles Met Je Delen,25,15th
6,1990,Zagreb,Luxembourg,Céline Carzo,Quand Je Te Rêve,38,13th
7,1990,Zagreb,United Kingdom,Emma,Give A Little Love Back To The World,87,6th
8,1990,Zagreb,Iceland,Stjórnin,Eitt Lag Enn,124,4th
9,1990,Zagreb,Norway,Ketil Stokkan,Brandenburger Tor,8,21st
10,1990,Zagreb,Israel,Rita,Shara Barechovot,16,18th
11,1990,Zagreb,Denmark,Lonnie Devantier,Hallo Hallo,64,8th
12,1990,Zagreb,Switzerland,Egon Egemann,Musik Klingt In Die Welt Hinaus,51,11th
13,1990,Zagreb,Germany,Chris Kempers and Daniel Kovac,Frei Zu Leben,60,9th
14,1990,Zagreb,France,Joelle Ursull,White And Black Blues,132,2nd
15,1990,Zagreb,Yugoslavia,Tajci,Hajde Da Ludujemo,81,7th
16,1990,Zagreb,Portugal,Nucha,Há Sempre Alguém,9,20th
17,1990,Zagreb,Ireland,Liam Reilly,Somewhere In Europe,132,2nd
18,1990,Zagreb,Sweden,Edin-Ådahl,Som En Vind,24,16th
19,1990,Zagreb,Italy,Toto Cutugno,Insieme: 1992,149,1st
20,1990,Zagreb,Austria,Simone,Keine Mauern Mehr,58,10th
21,1990,Zagreb,Cyprus,Haris Anastasiou,Milas Poli,36,14th
22,1990,Zagreb,Finland,Beat,Fri?,8,21st
1,1989,Lausanne,Italy,Anna Oxa and Fausto Leali,Avrei Voluto,56,9th
2,1989,Lausanne,Israel,Gili ve Galit,Derech Ha'melech,50,12th
3,1989,Lausanne,Ireland,Kiev Connolly and the Missing Passengers,The Real Me,21,18th
4,1989,Lausanne,The Netherlands,Justine Pelmelay,Blijf Zoals Je Bent,45,15th
5,1989,Lausanne,Turkey,Pan,Bana Bana,5,21st
6,1989,Lausanne,Belgium,Ingeborg,Door De Wind,13,19th
7,1989,Lausanne,United Kingdom,Live Report,Why Do I Always Get It Wrong,130,2nd
8,1989,Lausanne,Norway,Britt Synnøve Johansen,Venners Nærhet,30,17th
9,1989,Lausanne,Portugal,Da Vinci,Conquistador,39,16th
10,1989,Lausanne,Sweden,Tommy Nilsson,En Dag,110,4th
11,1989,Lausanne,Luxembourg,Park Café,Monsieur,8,20th
12,1989,Lausanne,Denmark,Birthe Kjær,Vi Maler Byen Rød,111,3rd
13,1989,Lausanne,Austria,Thomas Forstner,Nur Ein Lied,97,5th
14,1989,Lausanne,Finland,Anneli Saaristo,La Dolce Vita,76,7th
15,1989,Lausanne,France,Nathalie Pâque,J'ai Volé La Vie,60,8th
16,1989,Lausanne,Spain,Nina,Nacida Para Amar,88,6th
17,1989,Lausanne,Cyprus,Fanny Polymeri and Yiannis Savvidakis,Apopse As Vrethoume,51,11th
18,1989,Lausanne,Switzerland,Furbaz,Viver Senza Tei,47,13th
19,1989,Lausanne,Greece,Marianna,To Diko Sou Asteri,56,9th
20,1989,Lausanne,Iceland,Daníel Augúst Haraldsson,Það Sem Enginn Sér,—,22nd
21,1989,Lausanne,Germany,Nino de Angelo,Flieger,46,14th
22,1989,Lausanne,Yugoslavia,Riva,Rock Me,137,1st
1,1988,Dublin,Iceland,Beathoven,Sókrates,20,16th
2,1988,Dublin,Sweden,Tommy Körberg,Stad I Ljus,52,12th
3,1988,Dublin,Finland,Boulevard,Nauravat Silmät Muistetaan,3,20th
4,1988,Dublin,United Kingdom,Scott Fitzgerald,Go,136,2nd
5,1988,Dublin,Turkey,MFÖ,Sufi (hey Ya Hey),37,15th
6,1988,Dublin,Spain,La Década,La Chica Que Yo Quiero (made In Spain),58,11th
7,1988,Dublin,The Netherlands,Gerard Joling,Shangri-la,70,9th
8,1988,Dublin,Israel,Yardena Arazi,Ben Adam,85,7th
9,1988,Dublin,Switzerland,Céline Dion,Ne Partez Pas Sans Moi,137,1st
10,1988,Dublin,Ireland,Jump the Gun,Take Him Home,79,8th
11,1988,Dublin,Germany,Maxi and Chris Garden,Lied Für Einen Freund,48,14th
12,1988,Dublin,Austria,Wilfried,Lisa Mona Lisa,—,21st
13,1988,Dublin,Denmark,Hot Eyes,Ka' Du Se Hva' Jeg Sa',92,3rd
14,1988,Dublin,Greece,Aphroditi Fryda,Kloun,10,17th
15,1988,Dublin,Norway,Karoline Krüger,For Vår Jord,88,5th
16,1988,Dublin,Belgium,Reynaert,Laissez Briller Le Soleil,5,18th
17,1988,Dublin,Luxembourg,Lara Fabian,Croire,90,4th
18,1988,Dublin,Italy,Luca Barbarossa,Ti Scrivo,52,12th
19,1988,Dublin,France,Gérard Lenorman,Chanteur De Charme,64,10th
20,1988,Dublin,Portugal,Dora,Voltarei,5,18th
21,1988,Dublin,Yugoslavia,Srebrna Krila,Mangup,87,6th
1,1987,Brussels,Norway,Kate Gulbrandsen,Mitt Liv,65,9th
2,1987,Brussels,Israel,Datner and Kushnir,Shir Habatlanim,73,8th
3,1987,Brussels,Austria,Gary Lux,Nur Noch Gefühl,8,20th
4,1987,Brussels,Iceland,Halla Margarét,Hægt Og Hljótt,28,16th
5,1987,Brussels,Belgium,Liliane Saint-Pierre,Soldiers Of Love,56,11th
6,1987,Brussels,Sweden,Lotta Engberg,Boogaloo,50,12th
7,1987,Brussels,Italy,Umberto Tozzi and Raf,Gente Di Mare,103,3rd
8,1987,Brussels,Portugal,Nevada,Neste Barco à Vela,15,18th
9,1987,Brussels,Spain,Patricia Kraus,No Estás Solo,10,19th
10,1987,Brussels,Turkey,Seyyal Tanner and Lokomotif,Sarkim Sevgi üstüne,—,22nd
11,1987,Brussels,Greece,Bang,Stop!,64,10th
12,1987,Brussels,The Netherlands,Marcha,Rechtop In De Wind,83,5th
13,1987,Brussels,Luxembourg,Plastic Bertrand,Amour Amour,4,21st
14,1987,Brussels,United Kingdom,Rikki,Only The Light,47,13th
15,1987,Brussels,France,Christine Minier,Les Mots D'amour N'ont Pas De Dimanche,44,14th
16,1987,Brussels,Germany,Wind,Laß Die Sonne In Dein Herz,141,2nd
17,1987,Brussels,Cyprus,Alexia,Aspro Mavro,80,7th
18,1987,Brussels,Finland,Vicky Rosti,Sata Salamaa,32,15th
19,1987,Brussels,Denmark,Anne-Catherine Herdorf and Bandjo,En Lille Melodi,83,5th
20,1987,Brussels,Ireland,Johnny Logan,Hold Me Now,172,1st
21,1987,Brussels,Yugoslavia,Novi Fosili,Ja Sam Za Ples,92,4th
22,1987,Brussels,Switzerland,Carole Rich,Moitié Moitié,26,17th
1,1986,Bergen,Luxembourg,Sherisse Laurence,L'amour De Ma Vie,117,3rd
2,1986,Bergen,Yugoslavia,Doris Dragovic,Zeljo Moja,49,11th
3,1986,Bergen,France,Cocktail Chic,Européennes,13,17th
4,1986,Bergen,Norway,Ketil Stokkan,Romeo,44,12th
5,1986,Bergen,United Kingdom,Ryder,Runner In The Night,72,7th
6,1986,Bergen,Iceland,Icy,Gleðibankinn,19,16th
7,1986,Bergen,The Netherlands,Frizzle Sizzle,Alles Heeft Ritme,40,13th
8,1986,Bergen,Turkey,Klips ve Onlar,Halley,53,9th
9,1986,Bergen,Spain,Cadillac,Valentino,51,10th
10,1986,Bergen,Switzerland,Daniela Simons,Pas Pour Moi,140,2nd
11,1986,Bergen,Israel,Moti Galadi and Sarai Tzuriel,Yavoh Yom,7,19th
12,1986,Bergen,Ireland,Luv Bug,You Can Count On Me,96,4th
13,1986,Bergen,Belgium,Sandra Kim,J'aime La Vie,176,1st
14,1986,Bergen,Germany,Ingrid Peters,Über Die Brücke Geh'n,62,8th
15,1986,Bergen,Cyprus,Elpida,Tora Zo,4,20th
16,1986,Bergen,Austria,Timna Brauer,Die Zeit Ist Einsam,12,18th
17,1986,Bergen,Sweden,Lasse Holm and Monica Törnell,E' De' Det Här Du Kallar Kärlek,78,5th
18,1986,Bergen,Denmark,Lise Haavik and Trax,Du Er Fuld Af Løgn,77,6th
19,1986,Bergen,Finland,Kari Kuivalainen,Päivä Kahden Ihmisen,22,15th
20,1986,Bergen,Portugal,Dora,Não Sejas Mau Para Mim,28,14th
1,1985,Gothenburg,Ireland,Maria Christian,Wait Until The Weekend Comes,91,6th
2,1985,Gothenburg,Finland,Sonja Lumme,Eläköön Elämä,58,9th
3,1985,Gothenburg,Cyprus,Lia Vishy,To Katalava Arga,15,16th
4,1985,Gothenburg,Denmark,Hot Eyes,Sku' Du Spør Fra No'n,41,11th
5,1985,Gothenburg,Spain,Paloma San Basilio,La Fiesta Terminó,36,14th
6,1985,Gothenburg,France,Roger Bens,Femme Dans Ses Rêves Aussi,56,10th
7,1985,Gothenburg,Turkey,MFÖ,Di Dai Di Dai Dai (a'sik Oldum),36,14th
8,1985,Gothenburg,Belgium,Linda Lepomme,Laat Me Nu Gaan,7,19th
"9,1985,Gothenburg,Portugal,Adelaïde,""Penso Em Ti, Eu Sei"",9,18th"
10,1985,Gothenburg,Germany,Wind,Für Alle,105,2nd
11,1985,Gothenburg,Israel,Izhar Cohen,Olé Olé,93,5th
"12,1985,Gothenburg,Italy,Al Bano and Romina Power,""Magic, Oh Magic"",78,7th"
13,1985,Gothenburg,Norway,Bobbysocks,La Det Swinge,123,1st
14,1985,Gothenburg,United Kingdom,Vikki,Love Is...,100,4th
15,1985,Gothenburg,Switzerland,Mariella Farré and Pino Gasparini,Piano Piano,39,12th
16,1985,Gothenburg,Sweden,Kikki Danielsson,Bra Vibrationer,103,3rd
17,1985,Gothenburg,Austria,Gary Lux,Kinder Dieser Welt,60,8th
"18,1985,Gothenburg,Luxembourg,""Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Malcolm Roberts and Chris Roberts"",""Children, Kinder, Enfants"",37,13th"
19,1985,Gothenburg,Greece,Takis Biniaris,Miazoume,15,16th
1,1984,Luxembourg,Sweden,Herrey's,Diggi-loo Diggy-ley,145,1st
2,1984,Luxembourg,Luxembourg,Sophie Carle,100% D'amour,39,10th
3,1984,Luxembourg,France,Annick Thoumazeau,Autant D'amoureux Que D'étoiles,61,8th
"4,1984,Luxembourg,Spain,Bravo,""Lady, Lady"",106,3rd"
5,1984,Luxembourg,Norway,Dollie de Luxe,Lenge Leve Livet,29,17th
6,1984,Luxembourg,United Kingdom,Belle and the Devotions,Love Games,63,7th
7,1984,Luxembourg,Cyprus,Andy Paul,Anna Mari-elena,31,15th
8,1984,Luxembourg,Belgium,Jacques Zegers,Avanti La Vie,70,5th
9,1984,Luxembourg,Ireland,Linda Martin,Terminal '3',137,2nd
10,1984,Luxembourg,Denmark,Hot Eyes,Det' Lige Det,101,4th
11,1984,Luxembourg,The Netherlands,Maribelle,Ik Hou Van Jou,34,13th
12,1984,Luxembourg,Yugoslavia,Vlado and Isolda,Ciao Amore,26,18th
13,1984,Luxembourg,Austria,Anita,Einfach Weg,5,19th
14,1984,Luxembourg,Germany,Mary Roos,Aufrecht Geh'n,34,13th
"15,1984,Luxembourg,Turkey,""Bes Yil Önce, On Yil Sonra"",Halay,37,12th"
16,1984,Luxembourg,Finland,Kirka,Hengaillaan,46,9th
17,1984,Luxembourg,Switzerland,Rainy Day,Welche Farbe Hat Der Sonnenschein,30,16th
18,1984,Luxembourg,Italy,Alice and Battiato,I Treni Di Tozeur,70,5th
19,1984,Luxembourg,Portugal,Maria Guinot,Silêncio E Tanta Gente,38,11th
1,1983,Munich,France,Guy Bonnet,Vivre,56,8th
2,1983,Munich,Norway,Jahn Teigen,Do Re Mi,53,9th
3,1983,Munich,United Kingdom,Sweet Dreams,I'm Never Giving Up,79,6th
4,1983,Munich,Sweden,Carola Häggkvist,Främling,126,3rd
5,1983,Munich,Italy,Riccardo Fogli,Per Lucia,41,11th
6,1983,Munich,Turkey,Çetin Alp and the Short Wave,Opera,—,19th
7,1983,Munich,Spain,Remedios Amaya,¿quién Maneja Mi Barca?,—,19th
8,1983,Munich,Switzerland,Mariella Farré,Io Così Non Ci Sto,28,15th
9,1983,Munich,Finland,Ami Aspelund,Fantasiaa,41,11th
10,1983,Munich,Greece,Christie Stassinopoulou,Mou Les,32,14th
11,1983,Munich,The Netherlands,Bernadette,Sing Me A Song,66,7th
12,1983,Munich,Yugoslavia,Danijel,Dzuli,125,4th
13,1983,Munich,Cyprus,Stavros and Constantina,I Agapi Akoma Zi,26,16th
14,1983,Munich,Germany,Hoffmann und Hoffmann,Rücksicht,94,5th
15,1983,Munich,Denmark,Gry Johansen,Kloden Drejer,16,17th
16,1983,Munich,Israel,Ofra Haza,Hi,136,2nd
17,1983,Munich,Portugal,Armando Gama,Esta Balada Que Te Dou,33,13th
18,1983,Munich,Austria,Westend,Hurricane,53,9th
19,1983,Munich,Belgium,Pas de Deux,Rendez-vous,13,18th
20,1983,Munich,Luxembourg,Corinne Hermès,Si La Vie Est Cadeau,142,1st
1,1982,Harrogate,Portugal,Doce,Bem-bom,32,13th
2,1982,Harrogate,Luxembourg,Svetlana,Cour Apres Le Temps,78,6th
3,1982,Harrogate,Norway,Jahn Teigen and Anita Skorgan,Adieu,40,12th
4,1982,Harrogate,United Kingdom,Bardo,One Step Further,76,7th
5,1982,Harrogate,Turkey,Neço,Hani,20,15th
6,1982,Harrogate,Finland,Kojo,Nuku Pommiin,—,18th
7,1982,Harrogate,Switzerland,Arlette Zola,Amour On T'aime,97,3rd
8,1982,Harrogate,Cyprus,Anna Vishy,Mono I Agapi,85,5th
9,1982,Harrogate,Sweden,Chips,Dag Efter Dag,67,8th
10,1982,Harrogate,Austria,Mess,Sonntag,57,9th
11,1982,Harrogate,Belgium,Stella,Si Tu Aimes Ma Musique,96,4th
12,1982,Harrogate,Spain,Lucía,Él,52,10th
13,1982,Harrogate,Denmark,Brixx,Video-video,5,17th
14,1982,Harrogate,Yugoslavia,Aska,Halo Halo,21,14th
15,1982,Harrogate,Israel,Avi Toledano,Hora,100,2nd
16,1982,Harrogate,The Netherlands,Bill van Dijk,Jij En Ik,8,16th
"17,1982,Harrogate,Ireland,The Duskeys,""Here Today, Gone Tomorrow"",49,11th"
18,1982,Harrogate,Germany,Nicole,Ein Bißchen Frieden,161,1st
1,1981,Dublin,Austria,Marty Brem,Wenn Du Da Bist,20,17th
2,1981,Dublin,Turkey,Modern Folk Trio and Aysegül,Dönme Dolap,9,18th
3,1981,Dublin,Germany,Lena Valaitis,Johnny Blue,132,2nd
4,1981,Dublin,Luxembourg,Jean-Claude Pascal,C'est Peut-être Pas L'amérique,41,11th
5,1981,Dublin,Israel,Habibi,Halaylah,56,7th
6,1981,Dublin,Denmark,Debbie Cameron and Tommy Seebach,Krøller Eller Ej,41,11th
7,1981,Dublin,Yugoslavia,Seid-Memic Vajta,Leila,35,15th
8,1981,Dublin,Finland,Riki Sorsa,Reggae O.k.,27,16th
9,1981,Dublin,France,Jean Gabilou,Humanahum,125,3rd
10,1981,Dublin,Spain,Bacchelli,Y Solo Tú,38,14th
11,1981,Dublin,The Netherlands,Linda Williams,Het Is Een Wonder,51,9th
12,1981,Dublin,Ireland,Sheeba,Horoscopes,105,5th
13,1981,Dublin,Norway,Finn Kalvik,Aldri I Livet,—,20th
14,1981,Dublin,United Kingdom,Bucks Fizz,Making Your Mind Up,136,1st
15,1981,Dublin,Portugal,Carlos Paião,Play-back,9,18th
16,1981,Dublin,Belgium,Emly Starr,Samson,40,13th
17,1981,Dublin,Greece,Yiannis Dimitras,Feggari Kalokerino,55,8th
18,1981,Dublin,Cyprus,Island,Monika,69,6th
"19,1981,Dublin,Switzerland,""Peter, Sue and Marc"",Io Senza Tei,121,4th"
20,1981,Dublin,Sweden,Björn Skifs,Fångad I En Dröm,50,10th
1,1980,The-Hague,Austria,Blue Danube,Du Bist Musik,64,8th
2,1980,The-Hague,Turkey,Ajda Pekkan,Petr'oil,23,15th
3,1980,The-Hague,Greece,Anna Vishy and the Epikouri,Autostop,30,13th
4,1980,The-Hague,Luxembourg,Sophie and Magaly,Papa Pingouin,56,9th
5,1980,The-Hague,Morocco,Samira Bensaïd,Bitakat Hob,7,18th
6,1980,The-Hague,Italy,Alan Sorrenti,Non So Che Darei,87,6th
7,1980,The-Hague,Denmark,Bamses Venner,Tænker Altid På Dig,25,14th
8,1980,The-Hague,Sweden,Tomas Ledin,Just Nu!,47,10th
9,1980,The-Hague,Switzerland,Paola,Cinéma,104,4th
10,1980,The-Hague,Finland,Vesa-Matti Loiri,Huilumies,6,19th
11,1980,The-Hague,Norway,Sverre Kjellsberg and Mattis Hætta,Sámiid Ædnan,15,16th
12,1980,The-Hague,Germany,Katja Ebstein,Theater,128,2nd
13,1980,The-Hague,United Kingdom,Prima Donna,Love Enough For Two,106,3rd
"14,1980,The-Hague,Portugal,José Cid,""Um Grande, Grande Amor"",71,7th"
15,1980,The-Hague,The Netherlands,Maggie MacNeal,Amsterdam,93,5th
"16,1980,The-Hague,France,Profil,""Hé, Hé M'sieurs Dames"",45,11th"
17,1980,The-Hague,Ireland,Johnny Logan,What's Another Year,143,1st
18,1980,The-Hague,Spain,Trigo Limpio,Qué Date Esta Noche,38,12th
19,1980,The-Hague,Belgium,Telex,Euro-vision,14,17th
"1,1979,Jerusalem,Portugal,Manuela Bravo,""Sobe, Sobe, Balão Sobe"",64,9th"
2,1979,Jerusalem,Italy,Matia Bazar,Raggio Di Luna,27,15th
3,1979,Jerusalem,Denmark,Tommy Seebach,Disco Tango,76,6th
4,1979,Jerusalem,Ireland,Cathal Dunne,Happy Man,80,5th
5,1979,Jerusalem,Finland,Katri-Helena,Katso Sineen Taivaan,38,14th
"6,1979,Jerusalem,Monaco,Laurent Vaguener,""Notre Vie, C'est La Musique"",12,16th"
7,1979,Jerusalem,Greece,Elpida,Socrates,69,8th
"8,1979,Jerusalem,Switzerland,""Peter, Sue and Marc and Pfuri, Gorps and Kniri"",Trödler Und Co.,60,10th"
9,1979,Jerusalem,Germany,Dschinghis Khan,Dschinghis Khan,86,4th
10,1979,Jerusalem,Israel,Milk and Honey,Hallelujah,125,1st
11,1979,Jerusalem,France,Anne-Marie David,Je Suis L'enfant-soleil,106,3rd
12,1979,Jerusalem,Belgium,Micha Marah,Hey Nana,5,18th
13,1979,Jerusalem,Luxembourg,Jeane Manson,J'ai Déjà Vu ça Dans Tes Yeux,44,13th
14,1979,Jerusalem,The Netherlands,Xandra,Colorado,51,12th
15,1979,Jerusalem,Sweden,Ted Gärdestad,Satellit,8,17th
16,1979,Jerusalem,Norway,Anita Skorgan,Oliver,57,11th
17,1979,Jerusalem,United Kingdom,Black Lace,Mary Ann,73,7th
18,1979,Jerusalem,Austria,Christina Simon,Heute In Jerusalem,5,18th
19,1979,Jerusalem,Spain,Betty Missiego,Su Canción,116,2nd
1,1978,Paris,Ireland,Colm T. Wilkinson,Born To Sing,86,5th
2,1978,Paris,Norway,Jahn Teigen,Mil Etter Mil,—,20th
3,1978,Paris,Italy,Ricchi e Poveri,Questo Amore,53,12th
4,1978,Paris,Finland,Seija Simola,Anna Rakkaudelle Tilaisuus,2,18th
5,1978,Paris,Portugal,Gemini,Dai-li-dou,5,17th
6,1978,Paris,France,Joël Prévost,Il Y Aura Toujours Des Violons,119,3rd
7,1978,Paris,Spain,José Vélez,Bailemos Un Vals,65,9th
8,1978,Paris,United Kingdom,Co-Co,The Bad Old Days,61,11th
9,1978,Paris,Switzerland,Carole Vinci,Vivre,65,9th
10,1978,Paris,Belgium,Jean Vallée,L'amour ça Fait Chanter La Vie,125,2nd
11,1978,Paris,The Netherlands,Harmony,'t Is Ok,37,13th
12,1978,Paris,Turkey,Nazar,Sevinçe,2,18th
13,1978,Paris,Germany,Ireen Sheer,Feuer,84,6th
14,1978,Paris,Monaco,Caline and Olivier Toussaint,Les Jardins De Monaco,107,4th
15,1978,Paris,Greece,Tania Tsanaklidou,Charlie Chaplin,66,8th
16,1978,Paris,Denmark,Mabel,Boom Boom,13,16th
17,1978,Paris,Luxembourg,Baccara,Parlez-vous Français?,73,7th
18,1978,Paris,Israel,Izhar Cohen and the Alphabeta,Abanibi,157,1st
19,1978,Paris,Austria,Springtime,Mrs. Caroline Robinson,14,15th
20,1978,Paris,Sweden,Björn Skifs,Det Blir Alltid Värre Framåt Natten,26,14th
1,1977,London,Ireland,The Swarbriggs Plus Two,It's Nice To Be In Love Again,119,3rd
2,1977,London,Monaco,Michèle Torr,Une Petite Française,96,4th
3,1977,London,The Netherlands,Heddy Lester,De Mallemolen,35,12th
4,1977,London,Austria,Schmetterlinge,Boom Boom Boomerang,11,17th
5,1977,London,Norway,Anita Skorgan,Casanova,18,14th
6,1977,London,Germany,Silver Convention,Telegram,55,8th
7,1977,London,Luxembourg,Anne Marie B.,Frère Jacques,17,16th
8,1977,London,Portugal,Os Amigos,Portugal No Coração,18,14th
9,1977,London,United Kingdom,Lynsey de Paul and Mike Moran,Rock Bottom,121,2nd
"10,1977,London,Greece,""Pascalis, Marianna, Robert and Bessy"",Mathema Solfege,92,5th"
11,1977,London,Israel,Ilanit,Ah-haa-vah Hee Shir Lish-naa-yim,49,11th
12,1977,London,Switzerland,Pepe Lienhard Band,Swiss Lady,71,6th
13,1977,London,Sweden,Forbes,Beatles,2,18th
14,1977,London,Spain,Micky,Enseñame A Cantar,52,9th
15,1977,London,Italy,Mia Martini,Liberà,33,13th
16,1977,London,Finland,Monica Aspelund,Lapponia,50,10th
"17,1977,London,Belgium,Dream Express,""A Million In One, Two, Three"",69,7th"
18,1977,London,France,Marie Myriam,L'oiseau Et L'enfant,136,1st
1,1976,The-Hague,United Kingdom,Brotherhood of Man,Save Your Kisses For Me,164,1st
"2,1976,The-Hague,Switzerland,""Peter, Sue and Marc"",""Djambo, Djambo"",91,4th"
"3,1976,The-Hague,Germany,Les Humphries Singers,""Sing, Sang, Song"",12,15th"
"4,1976,The-Hague,Israel,""Chocolate, Menta, Mastik"",Emor Shalom,77,6th"
5,1976,The-Hague,Luxembourg,Jürgen Marcus,Chansons Pour Ceux Qui S'aiment,17,14th
6,1976,The-Hague,Belgium,Pierre Rapsat,Judy Et Cie.,68,8th
7,1976,The-Hague,Ireland,Red Hurley,When,54,10th
8,1976,The-Hague,The Netherlands,Sandra Reemer,The Party's Over Now,56,9th
9,1976,The-Hague,Norway,Anne-Karine Ström,Mata Hari,7,18th
"10,1976,The-Hague,Greece,Mariza Koch,""Panaghia Mou, Panaghia Mou"",20,13th"
11,1976,The-Hague,Finland,Fredi and The Friends,Pump-pump,44,11th
