R/O,Year,Host_City,Country,Contestant,Song,Points,Place
12,1976,The-Hague,Spain,Braulio,Sobran Las Palabras,11,16th
13,1976,The-Hague,Italy,Romina and Al Bano,We'll Live It All Again,69,7th
14,1976,The-Hague,Austria,Waterloo and Robinson,My Little World,80,5th
15,1976,The-Hague,Portugal,Carlos do Carmo,Uma Flor De Verde Pinho,24,12th
"16,1976,The-Hague,Monaco,Mary Christy,""Toi, La Musique Et Moi"",93,3rd"
"17,1976,The-Hague,France,Catherine Ferry,""Un, Deux, Trois"",147,2nd"
18,1976,The-Hague,Yugoslavia,Ambasadori,Ne Mogu Skriti Svoju Bol,10,17th
1,1975,Stockholm,The Netherlands,Teach-In,Ding-A-Dong,152,1st
2,1975,Stockholm,Ireland,The Swarbriggs,That's What Friends Are For,68,9th
3,1975,Stockholm,France,Nicole Rieu,Et Bonjour à Toi L'artiste,91,4th
4,1975,Stockholm,Germany,Joy Fleming,Ein Lied Kann Eine Brücke Sein,15,17th
5,1975,Stockholm,Luxembourg,Géraldine,Toi,84,5th
6,1975,Stockholm,Norway,Ellen Nikolaysen,You Touched My Life With Summer,11,18th
7,1975,Stockholm,Switzerland,Simone Drexel,Mikado,77,6th
8,1975,Stockholm,Yugoslavia,Pepel In Kri,Dan Ljubezni,22,13th
9,1975,Stockholm,United Kingdom,The Shadows,Let Me Be The One,138,2nd
10,1975,Stockholm,Malta,Renato,Singing This Song,32,12th
11,1975,Stockholm,Belgium,Ann Christy,Gelukkig Zijn,17,15th
12,1975,Stockholm,Israel,Shlomo Artzi,At Ve'ani,40,11th
13,1975,Stockholm,Turkey,Semiha Yanki,Seninle Bir Dakika,3,19th
14,1975,Stockholm,Monaco,Sophie,Une Chanson C'est Une Lettre,22,13th
15,1975,Stockholm,Finland,Pihasoittajat,Old Man Fiddle,74,7th
16,1975,Stockholm,Portugal,Duarte Mendes,Madrugada,16,16th
17,1975,Stockholm,Spain,Sergio y Estíbaliz,Tú Volverás,53,10th
"18,1975,Stockholm,Sweden,Lars Berghagen and the Dolls,""Jennie, Jennie"",72,8th"
19,1975,Stockholm,Italy,Wess and Dori Ghezzi,Era,115,3rd
1,1974,Brighton,Finland,Carita,Äla Mene Pois (Keep Me Warm),4,13th
2,1974,Brighton,United Kingdom,Olivia Newton-John,Long Live Love,14,4th
3,1974,Brighton,Spain,Peret,Canta Y Se Feliz,10,9th
4,1974,Brighton,Norway,Anne-Karine Ström and the Bendik Singers,The First Day Of Love,3,14th
"5,1974,Brighton,Greece,Marinella,""Krassi, Thalassa Ke T'agori Mou"",7,11th"
6,1974,Brighton,Israel,Poogy,Natati La Khaiai,11,7th
7,1974,Brighton,Yugoslavia,Korni,Generacija 42,6,12th
8,1974,Brighton,Sweden,ABBA,Waterloo,24,1st
"9,1974,Brighton,Luxembourg,Ireen Sheer,""Bye, Bye, I Love You"",14,4th"
10,1974,Brighton,Monaco,Romuald,Celui Qui Reste Et Celui Qui S'en Va,14,4th
11,1974,Brighton,Belgium,Jacques Hustin,Fleur De Liberté,10,9th
12,1974,Brighton,The Netherlands,Mouth and MacNeal,I See A Star,15,3rd
13,1974,Brighton,Ireland,Tina,Cross Your Heart,11,7th
14,1974,Brighton,Germany,Cindy und Bert,Die Sommermelodie,3,14th
15,1974,Brighton,Switzerland,Piera Martell,Mein Ruf Nach Dir,3,14th
16,1974,Brighton,Portugal,Paulo de Carvalho,E Depois Do Adeus,3,14th
17,1974,Brighton,Italy,Gigliola Cinquetti,Si,18,2nd
1,1973,Luxembourg,Finland,Marion Rung,Tom Tom Tom,93,6th
"2,1973,Luxembourg,Belgium,Nicole and Hugo,""Baby, Baby"",58,17th"
3,1973,Luxembourg,Portugal,Fernando Tordo,Tourada,80,10th
4,1973,Luxembourg,Germany,Gitte,Junger Tag,85,8th
5,1973,Luxembourg,Norway,Bendik Singers,It's Just A Game,89,7th
6,1973,Luxembourg,Monaco,Marie,Un Train Qui Part,85,8th
7,1973,Luxembourg,Spain,Mocedades,Eres Tú,125,2nd
"8,1973,Luxembourg,Switzerland,Patrick Juvet,""Je Me Vais Marier, Marie"",79,12th"
9,1973,Luxembourg,Yugoslavia,Zdravko Colic,Gori Vatra,65,15th
10,1973,Luxembourg,Italy,Massimo Ranieri,Chi Sarà Con Te,74,13th
11,1973,Luxembourg,Luxembourg,Anne-Marie David,Tu Te Reconnaîtras,129,1st
12,1973,Luxembourg,Sweden,The Nova and The Dolls,You're Summer,94,5th
13,1973,Luxembourg,The Netherlands,Ben Cramer,De Oude Muzikant,69,14th
14,1973,Luxembourg,Ireland,Maxi,Do I Dream?,80,10th
15,1973,Luxembourg,United Kingdom,Cliff Richard,Power To All Our Friends,123,3rd
16,1973,Luxembourg,France,Martine Clémenceau,Sans Toi,65,15th
17,1973,Luxembourg,Israel,Ilanit,Ey-sham,97,4th
1,1972,Edinburgh,Germany,Mary Roos,Nur Die Liebe Läßt Uns Leben,107,3rd
2,1972,Edinburgh,France,Betty Mars,Comé-comédie,81,11th
3,1972,Edinburgh,Ireland,Sandie Jones,Ceol On Ghrá,72,15th
4,1972,Edinburgh,Spain,Jaime Morey,Amanece,83,10th
"5,1972,Edinburgh,United Kingdom,The New Seekers,""Beg, Steal Or Borrow"",114,2nd"
6,1972,Edinburgh,Norway,Grethe Kausland and Benny Borg,Småting,73,14th
7,1972,Edinburgh,Portugal,Carlos Mendes,A Festa Da Vida,90,7th
8,1972,Edinburgh,Switzerland,Véronique Müller,C'est La Chanson De Mon Amour,88,8th
9,1972,Edinburgh,Malta,Helen and Joseph,L-imhabba,48,18th
10,1972,Edinburgh,Finland,Päivi Paunu and Kim Floor,Muistathan,78,12th
11,1972,Edinburgh,Austria,The Milestones,Falter Im Wind,100,5th
12,1972,Edinburgh,Italy,Nicola di Bari,I Giorni Dell' Arcobaleno,92,6th
13,1972,Edinburgh,Yugoslavia,Tereza,Muzika I Ti,87,9th
14,1972,Edinburgh,Sweden,Family Four,Härliga Sommardag,75,13th
15,1972,Edinburgh,Monaco,Anne-Marie Godart and Peter MacLane,Comme On S'aime,65,16th
16,1972,Edinburgh,Belgium,Serge and Christine Ghisoland,À La Folie Ou Pas Du Tout,55,17th
17,1972,Edinburgh,Luxembourg,Vicky Leandros,Après Toi,128,1st
18,1972,Edinburgh,The Netherlands,Sandra and Andres,Als Het Om De Liefde Gaat,106,4th
1,1971,Dublin,Austria,Marianne Mendt,Musik,66,16th
2,1971,Dublin,Malta,Joe Grech,Marija L-maltija,52,18th
"3,1971,Dublin,Monaco,Séverine,""Un Banc, Un Arbre, Une Rue"",128,1st"
"4,1971,Dublin,Switzerland,""Peter, Sue and Marc"",Les Illusions De Nos Vingt Ans,78,12th"
5,1971,Dublin,Germany,Katja Ebstein,Diese Welt,100,3rd
6,1971,Dublin,Spain,Karina,En Un Mundo Nuevo,116,2nd
7,1971,Dublin,France,Serge Lama,Un Jardin Sur La Terre,82,10th
"8,1971,Dublin,Luxembourg,Monique Melsen,""Pomme, Pomme, Pomme"",70,13th"
9,1971,Dublin,United Kingdom,Clodagh Rodgers,Jack In The Box,98,4th
"10,1971,Dublin,Belgium,Lily Castel and Jacques Raymond,""Goeie Morgen, Morgen"",68,14th"
11,1971,Dublin,Italy,Massimo Ranieri,L'amore è Un Attimo,91,5th
12,1971,Dublin,Sweden,Family Four,Vita Vidder,85,6th
13,1971,Dublin,Ireland,Angela Farrell,One Day Love,79,11th
14,1971,Dublin,The Netherlands,Saskia and Serge,De Tijd,85,6th
15,1971,Dublin,Portugal,Tonicha,Menina Do Alto Da Serra,83,9th
16,1971,Dublin,Yugoslavia,Krunoslav Slabinac,Tvoj Djecak Je Tuzan,68,14th
17,1971,Dublin,Finland,Markku Aro and Koivisto Sisters,Tie Uuteen Päivään,84,8th
18,1971,Dublin,Norway,Hanne Krogh,Lykken Er...,65,17th
1,1970,Amsterdam,The Netherlands,Patricia and Hearts of Soul,Waterman,7,7th
2,1970,Amsterdam,Switzerland,Henri Dès,Retour,8,4th
3,1970,Amsterdam,Italy,Gianni Morandi,Occhi Di Ragazza,5,8th
"4,1970,Amsterdam,Yugoslavia,Eva Sren,""Pridi, Dala Ti Bom Cvet"",4,11th"
5,1970,Amsterdam,Belgium,Jean Vallée,Viens L'oublier,5,8th
6,1970,Amsterdam,France,Guy Bonnet,Marie Blanche,8,4th
"7,1970,Amsterdam,United Kingdom,Mary Hopkin,""Knock, Knock (who's There?)"",26,2nd"
8,1970,Amsterdam,Luxembourg,David-Alexandre Winter,Je Suis Tombé Du Ciel,—,12th
9,1970,Amsterdam,Spain,Julio Iglesias,Gwendolyne,8,4th
10,1970,Amsterdam,Monaco,Dominique Dussault,Marlène,5,8th
11,1970,Amsterdam,Germany,Katja Ebstein,Wunder Gibt Es Immer Wieder,12,3rd
12,1970,Amsterdam,Ireland,Dana,All Kinds Of Everything,32,1st
1,1969,Madrid,Yugoslavia,Ivan,Pozdrav Svijetu,5,13th
2,1969,Madrid,Luxembourg,Romuald,Cathérine,7,11th
3,1969,Madrid,Spain,Salomé,Vivo Cantando,18,1st
"4,1969,Madrid,Monaco,Jean-Jacques,""Maman, Maman"",11,6th"
5,1969,Madrid,Ireland,Muriel Day and the Lindsays,The Wages Of Love,10,7th
6,1969,Madrid,Italy,Iva Zanicchi,Due Grosse Lacrime Bianche,5,13th
7,1969,Madrid,United Kingdom,Lulu,Boom Bang-a-bang,18,1st
8,1969,Madrid,The Netherlands,Lenny Kuhr,De Troubadour,18,1st
"9,1969,Madrid,Sweden,Tommy Körberg,""Judy, Min Vän"",8,9th"
10,1969,Madrid,Belgium,Louis Neefs,Jennifer Jennings,10,7th
"11,1969,Madrid,Switzerland,Paola del Medico,""Bonjour, Bonjour"",13,5th"
"12,1969,Madrid,Norway,Kirsti Sparboe,""Oj, Oj, Oj, Så Glad, Jeg Skal Bli"",1,16th"
13,1969,Madrid,Germany,Siw Malmkvist,Primaballerina,8,9th
"14,1969,Madrid,France,Frida Boccara,""Un Jour, Un Enfant"",18,1st"
15,1969,Madrid,Portugal,Simone de Oliveira,Desfolhada Portuguesa,4,15th
16,1969,Madrid,Finland,Jarkko and Laura,Kuin Silloin Ennen,6,12th
1,1968,London,Portugal,Carlos Mendes,Verão,5,11th
2,1968,London,The Netherlands,Ronnie Tober,Morgen,1,16th
3,1968,London,Belgium,Claude Lombard,Quand Tu Reviendras,8,7th
4,1968,London,Austria,Karel Gott,Tausend Fenster,2,13th
5,1968,London,Luxembourg,Chris Baldo and Sophie Garel,Nous Vivrons D'amour,5,11th
6,1968,London,Switzerland,Gianni Mascolo,Guardando Il Sole,2,13th
7,1968,London,Monaco,Line and Willy,A Chacun Sa Chanson,8,7th
"8,1968,London,Sweden,Claes-Göran Hederström,""Det Börjar Verka Kärlek, Banne Mej"",15,5th"
9,1968,London,Finland,Kristina Hautala,Kun Kello Käy,1,16th
10,1968,London,France,Isabelle Aubret,La Source,20,3rd
11,1968,London,Italy,Sergio Endrigo,Marianne,7,10th
12,1968,London,United Kingdom,Cliff Richard,Congratulations,28,2nd
13,1968,London,Norway,Odd Børre,Stress,2,13th
14,1968,London,Ireland,Pat McGeegan,Chance Of A Lifetime,18,4th
"15,1968,London,Spain,Massiel,""La, La, La..."",29,1st"
16,1968,London,Germany,Wencke Myhre,Ein Hoch Der Liebe,11,6th
17,1968,London,Yugoslavia,Luci Kapurso and Hamo Hajdarhodzic,Jedan Dan,8,7th
1,1967,Vienna,The Netherlands,Thérèse Steinmetz,Ring-dinge,2,14th
2,1967,Vienna,Luxembourg,Vicky,L'amour Est Bleu,17,4th
3,1967,Vienna,Austria,Peter Horten,Warum Es Hunderttausend Sterne Gibt,2,14th
4,1967,Vienna,France,Noëlle Cordier,Il Doit Faire Beau Là-bas,20,3rd
5,1967,Vienna,Portugal,Eduardo Nascimento,O Vento Mudou,3,12th
6,1967,Vienna,Switzerland,Géraldine,Quel Coeur Vas-tu Briser?,—,17th
7,1967,Vienna,Sweden,Östen Warnebring,Som En Dröm,7,8th
8,1967,Vienna,Finland,Fredi,Varjoon-suojaan,3,12th
9,1967,Vienna,Germany,Inge Brück,Anouschka,7,8th
10,1967,Vienna,Belgium,Louis Neefs,Ik Heb Zorgen,8,7th
11,1967,Vienna,United Kingdom,Sandie Shaw,Puppet On A String,47,1st
12,1967,Vienna,Spain,Raphael,Hablemos Del Amor,9,6th
13,1967,Vienna,Norway,Kirsti Sparboe,Dukkemann,2,14th
14,1967,Vienna,Monaco,Minouche Barelli,Boum-badaboum,10,5th
15,1967,Vienna,Yugoslavia,Lado Leskovar,Vse Roze Sveta,7,8th
16,1967,Vienna,Italy,Claudio Villa,Non Andare Più Lontano,4,11th
17,1967,Vienna,Ireland,Sean Dunphy,If I Could Choose,22,2nd
1,1966,Luxembourg,Germany,Margot Eskens,Die Zeiger Der Uhr,7,10th
"2,1966,Luxembourg,Denmark,Ulla Pia,""Stop, Ja Stop - Ja Stop, Mens Legen Er Go"",4,14th"
"3,1966,Luxembourg,Belgium,Tonia,""Un Peu De Poivre, Un Peu De Sel"",14,4th"
4,1966,Luxembourg,Luxembourg,Michèle Torr,Ce Soir Je T'attendais,7,10th
5,1966,Luxembourg,Yugoslavia,Berta Ambroz,Brez Besed,9,7th
6,1966,Luxembourg,Norway,Åse Kleveland,Intet Er Nytt Under Solen,15,3rd
7,1966,Luxembourg,Finland,Ann-Christine Nyström,Play-boy,7,10th
8,1966,Luxembourg,Portugal,Madalena Iglesias,Ele E Ela,6,13th
9,1966,Luxembourg,Austria,Udo Jürgens,Merci Chérie,31,1st
10,1966,Luxembourg,Sweden,Lill Lindfors and Svante Thuresson,Nygammal Vals Eller Hip Man Svinaherde,16,2nd
11,1966,Luxembourg,Spain,Raphael,Yo Soy Aquél,9,7th
12,1966,Luxembourg,Switzerland,Madeleine Pascal,Ne Vois-tu Pas?,12,6th
13,1966,Luxembourg,Monaco,Tereza,Bien Plus Fort,—,17th
14,1966,Luxembourg,Italy,Domenico Modugno,Dio Come Ti Amo,—,17th
15,1966,Luxembourg,France,Dominique Walter,Chez Nous,1,16th
16,1966,Luxembourg,The Netherlands,Milly Scott,Fernando En Philippo,2,15th
17,1966,Luxembourg,Ireland,Dickie Rock,Come Back To Stay,14,4th
18,1966,Luxembourg,United Kingdom,Kenneth McKellar,A Man Without Love,8,9th
1,1965,Naples,The Netherlands,Conny Van den bos,Het Is Genoeg,5,11th
2,1965,Naples,United Kingdom,Kathy Kirby,I Belong,26,2nd
"3,1965,Naples,Spain,Conchita Bautista,""Qué Bueno, Qué Bueno"",—,15th"
4,1965,Naples,Ireland,Butch Moore,I'm Walking The Streets In The Rain,11,6th
"5,1965,Naples,Germany,Ulla Wiesner,""Paradies, Wo Bist Du?"",—,15th"
"6,1965,Naples,Austria,Udo Jürgens,""Sag Ihr, Ich Lass' Sie Grüßen"",16,4th"
7,1965,Naples,Norway,Kirsti Sparboe,Karusell,1,13th
8,1965,Naples,Belgium,Lize Marke,Als Het Weer Lente Is,—,15th
9,1965,Naples,Monaco,Marjorie Noël,Va Dire à L'amour,7,9th
10,1965,Naples,Sweden,Ingvar Wixell,Absent Friend,6,10th
11,1965,Naples,France,Guy Mardel,N'avoue Jamais,22,3rd
12,1965,Naples,Portugal,Simone de Oliviera,Sol De Inverno,1,13th
"13,1965,Naples,Italy,Bobby Solo,""Se Piangi, Se Ridi"",15,5th"
14,1965,Naples,Denmark,Birgit Brüel,For Din Skyld,10,7th
"15,1965,Naples,Luxembourg,France Gall,""Poupée De Cire, Poupée De Son"",32,1st"
16,1965,Naples,Finland,Viktor Klimenko,Aurinko Laskee Länteen,—,15th
17,1965,Naples,Yugoslavia,Vice Vukov,Ceznja,2,12th
18,1965,Naples,Switzerland,Yovanna,Non à Jamais Sans Toi,8,8th
1,1964,Copenhagen,Luxembourg,Hugues Aufray,Dès Que Le Printemps Revient,14,4th
2,1964,Copenhagen,The Netherlands,Anneke Grönloh,Jij Bent Mijn Leven,2,10th
3,1964,Copenhagen,Norway,Arne Bendiksen,Spiral,6,8th
4,1964,Copenhagen,Denmark,Bjørn Tidmand,Sangen Om Dig,4,9th
5,1964,Copenhagen,Finland,Lasse Mårtenson,Laiskotellen,9,7th
"6,1964,Copenhagen,Austria,Udo Jürgens,""Warum Nur, Warum?"",11,6th"
7,1964,Copenhagen,France,Rachel,Le Chant De Mallory,14,4th
8,1964,Copenhagen,United Kingdom,Matt Monro,I Love The Little Things,17,2nd
9,1964,Copenhagen,Germany,Nora Nova,Man Gewöhnt Sich So Schnell An Das Schöne,—,13th
10,1964,Copenhagen,Monaco,Romuald,Où Sont-elles Passées?,15,3rd
11,1964,Copenhagen,Portugal,António Calvário,Oração,—,13th
12,1964,Copenhagen,Italy,Gigliola Cinquetti,Non Ho L'étà,49,1st
13,1964,Copenhagen,Yugoslavia,Sabahudin Kurt,Zivot Je Sklopio Krug,—,13th
14,1964,Copenhagen,Switzerland,Anita Traversi,I Miei Pensieri,—,13th
15,1964,Copenhagen,Belgium,Robert Cogoi,Près De Ma Rivière,2,10th
"16,1964,Copenhagen,Spain,""Tim, Nelly and Tony"",Caracola,1,12th"
1,1963,London,United Kingdom,Ronnie Carroll,Say Wonderful Things,28,4th
2,1963,London,The Netherlands,Annie Palmen,Een Speeldoos,—,13th
3,1963,London,Germany,Heidi Brühl,Marcel,5,9th
4,1963,London,Austria,Carmela Corren,Vielleicht Geschieht Ein Wunder,16,7th
5,1963,London,Norway,Anita Thallaug,Solhverv,—,13th
6,1963,London,Italy,Emilio Pericoli,Uno Per Tutte,37,3rd
7,1963,London,Finland,Laila Halme,Muistojeni Laulu,—,13th
8,1963,London,Denmark,Grethe and Jørgen Ingmann,Dansevise,42,1st
9,1963,London,Yugoslavia,Vice Vukov,Brodovi,3,11th
10,1963,London,Switzerland,Esther Ofarim,T'en Va Pas,40,2nd
11,1963,London,France,Alain Barrière,Elle était Si Jolie,25,5th
12,1963,London,Spain,José Guardiola,Algo Prodigioso,2,12th
13,1963,London,Sweden,Monica Zetterlund,En Gång I Stockholm,—,13th
14,1963,London,Belgium,Jacques Raymond,Waarom,4,10th
15,1963,London,Monaco,Françoise Hardy,L'amour S'en Va,25,5th
16,1963,London,Luxembourg,Nana Mouskouri,A Force De Prier,13,8th
1,1962,Luxembourg,Finland,Marion Rung,Tipi-tii,4,7th
2,1962,Luxembourg,Belgium,Fud Leclerc,Ton Nom,—,13th
3,1962,Luxembourg,Spain,Victor Balaguer,Llámame,—,13th
4,1962,Luxembourg,Austria,Eleonore Schwarz,Nur In Der Wiener Luft,—,13th
5,1962,Luxembourg,Denmark,Ellen Winther,Vuggevise,2,10th
6,1962,Luxembourg,Sweden,Inger Berggren,Sol Och Vår,4,7th
7,1962,Luxembourg,Germany,Conny Froboess,Zwei Kleine Italiener,9,6th
8,1962,Luxembourg,The Netherlands,De Spelbrekers,Katinka,—,13th
9,1962,Luxembourg,France,Isabelle Aubret,Un Premier Amour,26,1st
"10,1962,Luxembourg,Norway,Inger Jacobsen,""Kom Sol, Kom Regn"",2,10th"
11,1962,Luxembourg,Switzerland,Jean Philippe,Le Retour,2,10th
12,1962,Luxembourg,Yugoslavia,Lola Novakovic,Ne Pali Svetlo U Sumrak,10,4th
13,1962,Luxembourg,United Kingdom,Ronnie Carroll,Ring-a-ding Girl,10,4th
14,1962,Luxembourg,Luxembourg,Camillo Felgen,Petit Bonhomme,11,3rd
"15,1962,Luxembourg,Italy,Claudio Villa,""Addio, Addio"",3,9th"
16,1962,Luxembourg,Monaco,François Deguelt,Dis Rien,13,2nd
1,1961,Cannes,Spain,Conchita Bautista,Estando Contigo,8,9th
"2,1961,Cannes,Monaco,Colette Deréal,""Allons, Allons Les Enfants"",6,10th"
3,1961,Cannes,Austria,Jimmy Makulis,Sehnsucht,1,15th
4,1961,Cannes,Finland,Laila Kinnunen,Valoa Ikkunassa,6,10th
5,1961,Cannes,Yugoslavia,Ljiljana Petrovic,Neke Davne Zvezde,9,8th
6,1961,Cannes,The Netherlands,Greetje Kauffeld,Wat Een Dag,6,10th
"7,1961,Cannes,Sweden,Lill-Babs,""April, April"",2,14th"
8,1961,Cannes,Germany,Lale Andersen,Einmal Sehen Wir Uns Wieder,3,13th
9,1961,Cannes,France,Jean-Paul Mauric,Printemps (avril Carillonne),13,4th
10,1961,Cannes,Switzerland,Franca di Rienzo,Nous Aurons Demain,16,3rd
"11,1961,Cannes,Belgium,Bob Benny,""September, Gouden Roos"",1,15th"
12,1961,Cannes,Norway,Nora Brockstedt,Sommer I Palma,10,7th
13,1961,Cannes,Denmark,Dario Campeotto,Angelique,12,5th
14,1961,Cannes,Luxembourg,Jean-Claude Pascal,Nous Les Amoureux,31,1st
15,1961,Cannes,United Kingdom,The Allisons,Are You Sure?,24,2nd
16,1961,Cannes,Italy,Betty Curtis,Al Di Là,12,5th
"1,1960,London,United Kingdom,Bryan Johnson,""Looking High, High, High"",25,2nd"
2,1960,London,Sweden,Siw Malmkvist,Alla Andra Får Varann,4,10th
3,1960,London,Luxembourg,Camillo Felgen,So Laang We's Du Do Bast,1,13th
4,1960,London,Denmark,Katy Bødtger,Det Var En Yndig Tid,4,10th
5,1960,London,Belgium,Fud Leclerc,Mon Amour Pour Toi,9,6th
6,1960,London,Norway,Nora Brockstedt,Voi-voi,11,4th
7,1960,London,Austria,Harry Winter,Du Hast Mich So Fasziniert,6,7th
8,1960,London,Monaco,François Deguelt,Ce Soir-là,15,3rd
9,1960,London,Switzerland,Anita Traversi,Cielo E Terra,5,8th
10,1960,London,The Netherlands,Rudi Carrell,Wat Een Geluk,2,12th
"11,1960,London,Germany,Wyn Hoop,""Bonne Nuit, Ma Chérie!"",11,4th"
12,1960,London,Italy,Renato Rascel,Romantica,5,8th
13,1960,London,France,Jacqueline Boyer,Tom Pillibi,32,1st
"1,1959,Cannes,France,Jean Philippe,""Oui, Oui, Oui, Oui"",15,3rd"
2,1959,Cannes,Denmark,Birthe Wilke,Uh-jeg Ville Ønske Jeg Var Dig,12,5th
3,1959,Cannes,Italy,Domenico Modugno,Piove,9,6th
4,1959,Cannes,Monaco,Jacques Pills,Mon Ami Pierrot,1,11th
5,1959,Cannes,The Netherlands,Teddy Scholten,Een Beetje,21,1st
6,1959,Cannes,Germany,Alice and Ellen Kessler,Heut' Woll'n Wir Tanzen Geh'n,5,8th
7,1959,Cannes,Sweden,Brita Borg,Augustin,4,9th
8,1959,Cannes,Switzerland,Christa Williams,Irgendwoher,14,4th
9,1959,Cannes,Austria,Ferry Graf,Der K. Und K. Kalypso Aus Wien,4,9th
10,1959,Cannes,United Kingdom,Pearl Carr and Teddy Johnson,Sing Little Birdie,16,2nd
11,1959,Cannes,Belgium,Bob Benny,Hou Toch Van Mij,9,6th
1,1958,Hilversum,Italy,Domenico Modugno,Nel Blu Dipinto Di Blu,13,3rd
2,1958,Hilversum,The Netherlands,Corry Brokken,Heel De Wereld,1,9th
3,1958,Hilversum,France,André Claveau,Dors Mon Amour,27,1st
4,1958,Hilversum,Luxembourg,Solange Berry,Un Grand Amour,1,9th
5,1958,Hilversum,Sweden,Alice Babs,Lilla Stjärna,10,4th
6,1958,Hilversum,Denmark,Raquel Rastenni,Jeg Rev Et Blad Ud Af Min Dagbog,3,8th
7,1958,Hilversum,Belgium,Fud Leclerc,Ma Petite Chatte,8,5th
8,1958,Hilversum,Germany,Margot Hielscher,Für Zwei Groschen Musik,5,7th
9,1958,Hilversum,Austria,Liane Augustin,Die Ganze Welt Braucht Liebe,8,5th
10,1958,Hilversum,Switzerland,Lys Assia,Giorgio,24,2nd
1,1957,Frankfurt,Belgium,Bobbejaan Schoepen,Straatdeuntje,5,8th
2,1957,Frankfurt,Luxembourg,Danièle Dupré,Tant De Peine,8,4th
3,1957,Frankfurt,United Kingdom,Patricia Bredin,All,6,7th
4,1957,Frankfurt,Italy,Nunzio Gallo,Corde Della Mia Chitarra,7,6th
"5,1957,Frankfurt,Austria,Bob Martin,""Wohin, Kleines Pony"",3,10th"
6,1957,Frankfurt,The Netherlands,Corry Brokken,Net Als Toen,31,1st
"7,1957,Frankfurt,Germany,Margot Hielscher,""Telefon, Telefon"",8,4th"
8,1957,Frankfurt,France,Paule Desjardins,La Belle Amour,17,2nd
9,1957,Frankfurt,Denmark,Birthe Wilke and Gustav Winckler,Skibet Skal Sejle I Nat,10,3rd
10,1957,Frankfurt,Switzerland,Lys Assia,L'enfant Que J'étais,5,8th
1,1956,Lugano,The Netherlands,Jetty Paerl,De Vogels Van Holland,—,2nd
2,1956,Lugano,Switzerland,Lys Assia,Das Alte Karussell,—,2nd
3,1956,Lugano,Belgium,Fud Leclerc,Messieurs Les Noyés De La Seine,—,2nd
4,1956,Lugano,Germany,Walter Andreas Schwarz,Im Wartesaal Zum Großen Glück,—,2nd
5,1956,Lugano,France,Mathé Altéry,Le Temps Perdu,—,2nd
6,1956,Lugano,Luxembourg,Michèle Arnaud,Ne Crois Pas,—,2nd
7,1956,Lugano,Italy,Franca Raimondi,Aprite Le Finestre,—,2nd
8,1956,Lugano,The Netherlands,Corry Brokken,Voorgoed Voorbij,—,2nd
9,1956,Lugano,Switzerland,Lys Assia,Refrain,—,1st
10,1956,Lugano,Belgium,Mony Marc,Le Plus Beau Jour De Ma Vie,—,2nd
11,1956,Lugano,Germany,Freddy Quinn,So Geht Das Jede Nacht,—,2nd
12,1956,Lugano,France,Dany Dauberson,Il Est Là,—,2nd
13,1956,Lugano,Luxembourg,Michèle Arnaud,Les Amants De Minuit,—,2nd
14,1956,Lugano,Italy,Tonina Torielli,Amami Se Vuoi,—,2nd