season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers
1,1,1,The One Where Monica Gets a Roommate,James Burrows,David Crane & Marta Kauffman,1994-09-22,456650,21500000.0
1,2,2,The One with the Sonogram at the End,James Burrows,David Crane & Marta Kauffman,1994-09-29,456652,20200000.0
1,3,3,The One with the Thumb,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-10-06,456651,19500000.0
1,4,4,The One with George Stephanopoulos,James Burrows,Alexa Junge,1994-10-13,456654,19700000.0
1,5,5,The One with the East German Laundry Detergent,Pamela Fryman,Jeff Greenstein & Jeff Strauss,1994-10-20,456653,18600000.0
1,6,6,The One with the Butt,Arlene Sanford,Adam Chase & Ira Ungerleider,1994-10-27,456655,18200000.0
1,7,7,The One with the Blackout,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-11-03,456656,23500000.0
1,8,8,The One Where Nana Dies Twice,James Burrows,Marta Kauffman & David Crane,1994-11-10,456657,21100000.0
1,9,9,The One Where Underdog Gets Away,James Burrows,Jeff Greenstein & Jeff Strauss,1994-11-17,456659,23100000.0
1,10,10,The One with the Monkey,Peter Bonerz,Adam Chase & Ira Ungerleider,1994-12-15,456661,19900000.0
1,11,11,The One with Mrs. Bing,James Burrows,Alexa Junge,1995-01-05,456660,26600000.0
1,12,12,The One with the Dozen Lasagnas,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,1995-01-12,456658,24000000.0
1,13,13,The One with the Boobies,Alan Myerson,Alexa Junge,1995-01-19,456664,25800000.0
1,14,14,The One with the Candy Hearts,James Burrows,Bill Lawrence,1995-02-09,456667,23800000.0
1,15,15,The One with the Stoned Guy,Alan Myerson,Jeff Greenstein & Jeff Strauss,1995-02-16,456663,24800000.0
1,16,16,The One with Two Parts: Part 1,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,456665A,26100000.0
1,17,17,The One with Two Parts: Part 2,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,456665B,30500000.0
1,18,18,The One with All the Poker,James Burrows,Jeffrey Astrof & Mike Sikowitz,1995-03-02,456662,30400000.0
1,19,19,The One Where the Monkey Gets Away,Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,1995-03-09,456668,29400000.0
1,20,20,The One with the Evil Orthodontist,Peter Bonerz,Doty Abrams,1995-04-06,456669,30000000.0
1,21,21,The One with the Fake Monica,Gail Mancuso,Adam Chase & Ira Ungerleider,1995-04-27,456671,28400000.0
1,22,22,The One with the Ick Factor,Robby Benson,Alexa Junge,1995-05-04,456670,29900000.0
1,23,23,The One with the Birth,James Burrows,Story by: David Crane & Marta KauffmanTeleplay by: Jeff Greenstein & Jeff Strauss,1995-05-11,456672,28700000.0
1,24,24,The One Where Rachel Finds Out,Kevin S. Bright,Chris Brown,1995-05-18,456673,31300000.0
2,1,25,The One with Ross's New Girlfriend,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,1995-09-21,457301,32100000.0
2,2,26,The One with the Breast Milk,Michael Lembeck,Adam Chase & Ira Ungerleider,1995-09-28,457302,29800000.0
2,3,27,The One Where Heckles Dies,Kevin S. Bright,Michael Curtis & Gregory S. Malins,1995-10-05,457303,30200000.0
2,4,28,The One with Phoebe's Husband,Gail Mancuso,Alexa Junge,1995-10-12,457305,28100000.0
2,5,29,The One with Five Steaks and an Eggplant,Ellen Gittelsohn,Chris Brown,1995-10-19,457304,28300000.0
2,6,30,The One with the Baby on the Bus,Gail Mancuso,Betsy Borns,1995-11-02,457306,30200000.0
2,7,31,The One Where Ross Finds Out,Peter Bonerz,Michael Borkow,1995-11-09,457307,30500000.0
2,8,32,The One with the List,Mary Kay Place,David Crane & Marta Kauffman,1995-11-16,457308,32900000.0
2,9,33,The One with Phoebe's Dad,Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,1995-12-14,457309,27800000.0
2,10,34,The One with Russ,Thomas Schlamme,Ira Ungerleider,1996-01-04,457311,32200000.000000004
2,11,35,The One with the Lesbian Wedding,Thomas Schlamme,Doty Abrams,1996-01-18,457312,31600000.0
2,12,36,The One After the Superbowl: Part 1,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,1996-01-28,457313,52900000.0
2,13,37,The One After the Superbowl: Part 2,Michael Lembeck,Michael Borkow,1996-01-28,457314,52900000.0
2,14,38,The One with the Prom Video,James Burrows,Alexa Junge,1996-02-01,457310,33600000.0
2,15,39,The One Where Ross and Rachel... You Know,Michael Lembeck,Michael Curtis & Gregory S. Malins,1996-02-08,457315,32900000.0
2,16,40,The One Where Joey Moves Out,Michael Lembeck,Betsy Borns,1996-02-15,457316,31100000.0
2,17,41,The One Where Eddie Moves In,Michael Lembeck,Adam Chase,1996-02-22,457317,30200000.0
2,18,42,The One Where Dr. Ramoray Dies,Michael Lembeck,Story by: Alexa JungeTeleplay by: Michael Borkow,1996-03-21,457318,30100000.0
2,19,43,The One Where Eddie Won't Go,Michael Lembeck,Michael Curtis & Gregory S. Malins,1996-03-28,457319,31200000.0
2,20,44,The One Where Old Yeller Dies,Michael Lembeck,Story by: Michael Curtis & Gregory S. MalinsTeleplay by: Adam Chase,1996-04-04,457320,27400000.0
2,21,45,The One with the Bullies,Michael Lembeck,Brian Buckner & Sebastian Jones,1996-04-25,457321,24700000.0
2,22,46,The One with the Two Parties,Michael Lembeck,Alexa Junge,1996-05-02,457322,25500000.0
2,23,47,The One with the Chicken Pox,Michael Lembeck,Brown Mandell,1996-05-09,457324,26100000.0
2,24,48,The One with Barry and Mindy's Wedding,Michael Lembeck,Story by: Ira UngerleiderTeleplay by: Brown Mandell,1996-05-16,457323,29000000.0
3,1,49,The One with the Princess Leia Fantasy,Gail Mancuso,Michael Curtis & Gregory S. Malins,1996-09-19,465251,26760000.0
3,2,50,The One Where No One's Ready,Gail Mancuso,Ira Ungerleider,1996-09-26,465252,26730000.0
3,3,51,The One with the Jam,Kevin S. Bright,Wil Calhoun,1996-10-03,465253,25230000.0
3,4,52,The One with the Metaphorical Tunnel,Steve Zuckerman,Alexa Junge,1996-10-10,465254,26100000.0
3,5,53,The One with Frank Jr.,Steve Zuckerman,Shana Goldberg-Meehan & Scott Silveri,1996-10-17,465255,23250000.0
3,6,54,The One with the Flashback,Peter Bonerz,David Crane & Marta Kauffman,1996-10-31,465256,23270000.0
3,7,55,The One with the Race Car Bed,Gail Mancuso,Seth Kurland,1996-11-07,465257,27360000.0
3,8,56,The One with the Giant Poking Device,Gail Mancuso,Adam Chase,1996-11-14,465258,28690000.0
3,9,57,The One with the Football,Kevin S. Bright,Ira Ungerleider,1996-11-21,465259,29280000.0
3,10,58,The One Where Rachel Quits,Terry Hughes,Gregory S. Malins & Michael Curtis,1996-12-12,465260,25100000.0
3,11,59,The One Where Chandler Can't Remember Which Sister,Terry Hughes,Alexa Junge,1997-01-09,465261,29800000.0
3,12,60,The One with All the Jealousy,Robby Benson,Doty Abrams,1997-01-16,465262,29610000.0
3,13,61,The One Where Monica and Richard Are Just Friends,Robby Benson,Michael Borkow,1997-01-30,465265,28030000.0
3,14,62,The One with Phoebe's Ex-Partner,Robby Benson,Wil Calhoun,1997-02-06,465266,28910000.0
3,15,63,The One Where Ross and Rachel Take a Break,James Burrows,Michael Borkow,1997-02-13,465263,27250000.0
3,16,64,The One with the Morning After,James Burrows,David Crane & Marta Kauffman,1997-02-20,465264,28260000.0
3,17,65,The One Without the Ski Trip,Sam Simon,Shana Goldberg-Meehan & Scott Silveri,1997-03-06,465267,25840000.0
3,18,66,The One with the Hypnosis Tape,Robby Benson,Seth Kurland,1997-03-13,465269,28070000.0
3,19,67,The One with the Tiny T-Shirt,Terry Hughes,Adam Chase,1997-03-27,465268,23650000.0
3,20,68,The One with the Dollhouse,Terry Hughes,Wil Calhoun,1997-04-10,465270,24360000.0
3,21,69,The One with the Chick and the Duck,Michael Lembeck,Chris Brown,1997-04-17,465271,23220000.0
3,22,70,The One with the Screamer,Peter Bonerz,Shana Goldberg-Meehan & Scott Silveri,1997-04-24,465272,22630000.0
3,23,71,The One with Ross's Thing,Shelley Jensen,Ted Cohen & Andrew Reich,1997-05-01,465274,24170000.0
3,24,72,The One with the Ultimate Fighting Champion,Robby Benson,Story by: Pang-Ni Landrum & Mark KunerthTeleplay by: Shana Goldberg-Meehan & Scott Silveri,1997-05-08,465273,23070000.0
3,25,73,The One at the Beach,Pamela Fryman,Story by: Pang-Ni Landrum & Mark KunerthTeleplay by: Adam Chase,1997-05-15,465275,23390000.0
4,1,74,The One with the Jellyfish,Shelley Jensen,Wil Calhoun,1997-09-25,466601,29430000.0
4,2,75,The One with the Cat,Shelley Jensen,Jill Condon & Amy Toomin,1997-10-02,466602,25540000.0
4,3,76,The One with the 'Cuffs,Peter Bonerz,Seth Kurland,1997-10-09,466603,23980000.0
4,4,77,The One with the Ballroom Dancing,Gail Mancuso,Ted Cohen & Andrew Reich,1997-10-16,466604,24310000.0
4,5,78,The One with Joey's New Girlfriend,Gail Mancuso,Gregory S. Malins & Michael Curtis,1997-10-30,466605,24350000.0
4,6,79,The One with the Dirty Girl,Shelley Jensen,Shana Goldberg-Meehan & Scott Silveri,1997-11-06,466606,25680000.0
4,7,80,The One Where Chandler Crosses the Line,Kevin S. Bright,Adam Chase,1997-11-13,466607,26350000.0
4,8,81,The One with Chandler in a Box,Peter Bonerz,Michael Borkow,1997-11-20,466608,26760000.0
4,9,82,The One Where They're Going to Party!,Peter Bonerz,Ted Cohen & Andrew Reich,1997-12-11,466609,23890000.0
4,10,83,The One with the Girl from Poughkeepsie,Gary Halvorson,Scott Silveri,1997-12-18,466612,23220000.0
4,11,84,The One with Phoebe's Uterus,David Steinberg,Seth Kurland,1998-01-08,466610,23660000.0
4,12,85,The One with the Embryos,Kevin S. Bright,Jill Condon & Amy Toomin,1998-01-15,466611,27140000.0
4,13,86,The One with Rachel's Crush,Dana DeVally Piazza,Shana Goldberg-Meehan,1998-01-29,466613,25270000.0
4,14,87,The One with Joey's Dirty Day,Peter Bonerz,Wil Calhoun,1998-02-05,466614,25080000.0
4,15,88,The One with All the Rugby,James Burrows,Story by: Ted Cohen & Andrew ReichTeleplay by: Wil Calhoun,1998-02-26,466617,24440000.0
4,16,89,The One with the Fake Party,Michael Lembeck,Story by: Alicia Sky VarinaitisTeleplay by: Scott Silveri & Shana Goldberg-Meehan,1998-03-19,466615,23130000.0
4,17,90,The One with the Free Porn,Michael Lembeck,Story by: Mark KunerthTeleplay by: Richard Goodman,1998-03-26,466616,23220000.0
4,18,91,The One with Rachel's New Dress,Gail Mancuso,Story by: Andrew Reich & Ted CohenTeleplay by: Jill Condon & Amy Toomin,1998-04-02,466620,21720000.0
4,19,92,The One with All the Haste,Kevin S. Bright,Scott Silveri & Wil Calhoun,1998-04-09,466618,21760000.0
4,20,93,The One with All the Wedding Dresses,Gail Mancuso,Story by: Adam ChaseTeleplay by: Gregory S. Malins & Michael Curtis,1998-04-16,466621,21940000.0
4,21,94,The One with the Invitation,Peter Bonerz,Seth Kurland,1998-04-23,466619,21510000.0
4,22,95,The One with the Worst Best Man Ever,Peter Bonerz,Story by: Seth KurlandTeleplay by: Gregory S. Malins & Michael Curtis,1998-04-30,466622,23150000.0
4,23,96,The One with Ross's Wedding,Kevin S. Bright,Michael Borkow,1998-05-07,466623,31610000.0
4,24,97,The One with Ross's Wedding: Part 2,Kevin S. Bright,Story by: Jill Condon & Amy Toomin Teleplay by: Shana Goldberg-Meehan & Scott Silveri,1998-05-07,466624,31610000.0
5,1,98,The One After Ross Says Rachel,Kevin S. Bright,Seth Kurland,1998-09-24,467651,31120000.0
5,2,99,The One with All the Kissing,Gary Halvorson,Wil Calhoun,1998-10-01,467652,25360000.0
5,3,100,The One Hundredth,Kevin S. Bright,David Crane & Marta Kauffman,1998-10-08,467653,26820000.0
5,4,101,The One Where Phoebe Hates PBS,Shelley Jensen,Michael Curtis,1998-10-18,467654,24090000.0
5,5,102,The One with the Kips,Dana DeVally Piazza,Scott Silveri,1998-10-29,467655,25870000.0
5,6,103,The One with the Yeti,Gary Halvorson,Alexa Junge,1998-11-05,467656,24990000.0
5,7,104,The One Where Ross Moves In,Gary Halvorson,Gigi McCreery & Perry Rein,1998-11-12,467657,24440000.0
5,8,105,The One with All the Thanksgivings,Kevin S. Bright,Gregory S. Malins,1998-11-19,467659,23920000.0
5,9,106,The One with Ross's Sandwich,Gary Halvorson,Ted Cohen & Andrew Reich,1998-12-10,467658,23030000.0
5,10,107,The One with the Inappropriate Sister,Dana DeVally Piazza,Shana Goldberg-Meehan,1998-12-17,467661,23670000.0
5,11,108,The One with All the Resolutions,Joe Regalbuto,Story by: Brian BoyleTeleplay by: Suzie Villandry,1999-01-07,467660,27020000.0
5,12,109,The One with Chandler's Work Laugh,Kevin S. Bright,Alicia Sky Varinaitis,1999-01-21,467663,24820000.0
5,13,110,The One with Joey's Bag,Gail Mancuso,Story by: Michael CurtisTeleplay by: Seth Kurland,1999-02-04,467662,24920000.0
5,14,111,The One Where Everybody Finds Out,Michael Lembeck,Alexa Junge,1999-02-11,467664,27700000.0
5,15,112,The One with the Girl Who Hits Joey,Kevin S. Bright,Adam Chase,1999-02-18,467665,29310000.0
5,16,113,The One with the Cop,Andrew Tsao,Story by: Alicia Sky VarinaitisTeleplay by: Gigi McCreery & Perry Rein,1999-02-25,467666,26020000.0
5,17,114,The One with Rachel's Inadvertent Kiss,Shelley Jensen,Andrew Reich & Ted Cohen,1999-03-18,467667,24480000.0
5,18,115,The One Where Rachel Smokes,Todd Holland,Michael Curtis,1999-04-08,467668,21880000.0
5,19,116,The One Where Ross Can't Flirt,Gail Mancuso,Doty Abrams,1999-04-22,467669,20850000.0
5,20,117,The One with the Ride Along,Gary Halvorson,Shana Goldberg-Meehan & Seth Kurland,1999-04-29,467670,19630000.0
5,21,118,The One with the Ball,Gary Halvorson,Story by: Scott SilveriTeleplay by: Gregory S. Malins,1999-05-06,467671,20920000.0
5,22,119,The One with Joey's Big Break,Gary Halvorson,Story by: Shana Goldberg-MeehanTeleplay by: Wil Calhoun,1999-05-11,467672,21280000.0
5,23,120,The One in Vegas: Part 1,Kevin S. Bright,Ted Cohen & Andrew Reich,1999-05-20,467673,25900000.0
5,24,121,The One in Vegas: Part 2,Kevin S. Bright,Gregory S. Malins & Scott Silveri,1999-05-20,467674,25900000.0
